states_solved,max_d,path_damage_final,path_damage_max,fatigue_f_min,abar_max_MPa,psi_plus_max_MPa,damage_jump_max,damage_jump_cycle,damage_jump_phase,post_shutin_damage_jump,psi_injection_peak_MPa,psi_postshutin_peak_MPa,postshut_amplification,N_severe_breach80,severe_breach_phase,severe_breach_time_h,censored_severe80,N_path_10,N_path_25,N_path_50,N_failure,failure_phase,failure_time_h,censored_primary,critical_angle_deg,observed_cycles,planned_cycles,case_id,nr_case,nr_cement,nr_rock,nt,htheta_over_ell,hrad_over_ell,solver_stdout,dT_K,dp_MPa,t_inj_h,t_shut_h,ramp_down_h,recovery_frac,SHmax_MPa,stress_ratio,Ecement_GPa,nu_c,alpha_c_e6,ft_MPa,Gc_Jm2,eta_fat,Erock_GPa,ell_m,Sy_MPa,wall_recovery_h
241,0.609740365134,0.492960017753,0.492960017753,0.190741051981,0.00462141824125,0.00100337408881,0.410605594333,1,1,False,0.000972369621541,0.00100337408881,1.031885475010896,,-1,,True,1.0,1.0,,,-1,,True,0.576923076923,40,40,B000000,4,9,14,78,0.5483910467633265,0.5411074607586499,OK states=241 max_d=0.631477 alphaT=0.00129112 MPa,93.07819407955174,11.951812600408378,43.17229318710072,69.81019615296483,2.1530849140818322,0.7421664922443483,23.08433188582885,0.8643838778179456,9.404401750514872,0.19229018364546618,13.739705280463147,3.535432920585522,90.36046023692424,0.1024555922518753,19.026543567394747,0.007170479583778264,19.953724312309188,51.810788401735806
241,0.691761525867,0.502804882009,0.502804882009,0.0299274067675,0.00662800655991,0.00272389300987,0.404930314326,1,1,False,0.00272389300987,4.49880039641e-05,0.016516068656546496,,-1,,True,1.0,1.0,35.0,35.0,1,1551.8776822777777,False,1.07142857143,40,40,B000001,4,5,14,42,0.5392164264887571,0.5156837816793644,OK states=241 max_d=0.751781 alphaT=0.000627593 MPa,88.1454832099631,4.1960602502123105,20.85112195259598,24.1790709981805,5.648305205977191,0.8830938506160517,33.5170841157904,0.5801745207744607,10.047701139237304,0.27084355864437565,10.97015469189693,2.7105688903046983,93.89687725216157,0.09052060324385863,39.1958339481788,0.01354318333854917,19.445758214635983,21.352388912102118
3,0.968070161862,0.914971901689,0.914971901689,0.0158553014274,0.00555531689298,0.00130476752299,0.838505017458,1,1,False,0.00130476752299,0.0,0.0,1.0,1,46.56466498444445,False,1.0,1.0,1.0,1.0,1,46.56466498444445,False,1.125,1,40,B000002,4,5,14,40,0.5420666008392541,0.493723397968643,OK states=241 max_d=1 alphaT=0.000373257 MPa,62.479866609540814,8.084517005636053,46.5646649843501,20.615490488805357,2.2164812756781767,0.5577633371382048,23.328695657747417,0.7064248569175853,13.562676276683781,0.2572016481537771,13.668805800608844,2.3645390317290254,55.289708653046226,0.09549567031172357,47.97919856714515,0.014145572255102153,16.47997049209811,11.498564771776996
160,0.954255165458,0.801156073619,0.801156073619,0.0407033985609,0.00412088991567,0.0106861094476,0.591409466123,1,1,False,0.00453153804597,0.0106861094476,2.35816390355663,27.0,2,892.8919199083333,False,1.0,1.0,2.0,2.0,1,47.36056026333333,False,34.8113207547,27,40,B000003,4,6,14,53,0.5409319029291345,0.544011760148845,OK states=241 max_d=1 alphaT=0.000462335 MPa,94.09675507438986,7.7905834898993955,13.543862551500712,20.272835160351406,0.11391684988259347,0.7808893001579778,31.563958819057575,0.6069927147951146,9.259860012167522,0.21674237942857572,10.03291542276946,2.839883107738867,88.3461046445323,0.0559865585561294,41.65470540996532,0.010698298136804263,19.159093053260957,15.830840060584853
241,0.869963454875,0.780529285212,0.780529285212,0.0444940044567,0.00437565929787,0.00124155937406,0.656730012102,1,1,False,0.00119017185813,0.00124155937406,1.0431765509988953,,-1,,True,1.0,1.0,1.0,1.0,1,26.5169181885,False,0.957446808511,40,40,B000004,4,6,14,47,0.5390726907393133,0.48076740055083456,OK states=241 max_d=0.906436 alphaT=0.000515903 MPa,65.90264972509577,8.915406719221028,26.51691818848765,24.547871132508547,1.1677075525930312,0.5712718828827634,21.675162812576115,0.7561301347472636,11.480643929493402,0.18860945404583865,13.49970577114933,3.204311021190951,102.65196177755773,0.06083998432330172,41.80435792721935,0.012105646084430408,16.389243778142056,14.023508562631593
241,0.961162860971,0.765188725023,0.765188725023,0.00832677369071,0.00311030042474,0.000694261691173,0.669452596048,1,1,False,0.000694261691173,0.0,0.0,,-1,,True,1.0,1.0,1.0,1.0,1,33.45251187555555,False,1.15384615385,40,40,B000005,4,5,14,39,0.5478654722737091,0.4865299801303603,OK states=241 max_d=1 alphaT=0.000148693 MPa,103.68885724653445,9.07787027738025,33.45251187563852,23.751617410444645,5.467491492657288,0.26232444499648344,23.40621592114772,0.862870008183102,14.594971235227078,0.27861451155464456,8.475723829981755,2.719806230784465,68.98322760720745,0.03094161992225893,28.826611014226025,0.014354716636637089,20.196521723416186,6.230629854963705
241,0.789637346751,0.558848007232,0.558848007232,0.051406530025,0.00365151088838,0.00067715806567,0.587094689191,1,1,False,0.000651998495834,0.00067715806567,1.038588386318004,,-1,,True,1.0,1.0,1.0,1.0,1,26.239978902694443,False,1.04651162791,40,40,B000006,4,5,14,43,0.5462699154503335,0.534868236357129,OK states=241 max_d=0.871373 alphaT=0.000466882 MPa,88.77660095283673,10.541534529211479,26.23997890269182,63.227754968050995,2.712943874217964,0.7339118243858052,26.879756307409018,0.7396756569123776,8.41651707143941,0.24555874945229858,13.92660234641022,2.014493275454082,59.69429940905496,0.10212485703624799,27.368700601570424,0.013057421483030096,19.88230140432739,46.40359700042096
241,0.597395962925,0.43834390474,0.43834390474,0.0869103686076,0.00503456243916,0.00137029918303,0.37129872986,1,1,False,0.00137029918303,0.0,0.0,,-1,,True,1.0,3.0,,,-1,,True,0.5625,40,40,B000007,4,10,14,80,0.5474548965606396,0.49863114854523916,OK states=241 max_d=0.629627 alphaT=0.00087041 MPa,93.32911891315499,11.71777082801486,20.01614149246842,17.510681412747218,2.1719160162592006,0.22477627569209302,35.210711931780715,0.6341969787407694,6.426632620481998,0.24720805963697698,13.695945200849614,2.901891041403201,87.006111809329,0.07005977054721259,39.329511151368486,0.007003172606019377,22.33052712644689,3.9359857527880773
241,0.648886450761,0.433646643405,0.433646643405,0.073244648107,0.00273473694413,0.000620012265283,0.501039059755,1,1,False,0.000620012265283,0.000127715145072,0.20598809446730118,,-1,,True,1.0,3.0,,,-1,,True,0.511363636364,40,40,B000008,4,10,14,88,0.5482151379008754,0.5492559480911201,OK states=241 max_d=0.68396 alphaT=0.000427974 MPa,64.44150511309556,5.987052923039159,8.884012741146204,20.79369298937302,4.459378500055727,0.7646619222011686,35.16546056266418,0.7234135994980323,12.84512200220898,0.18267863242926705,12.052826111346208,3.458567018848422,56.13449568842789,0.04847157212348835,48.73919076607321,0.006357691732126102,25.439172403642996,15.900145250914937
241,0.919896925486,0.747419732073,0.747419732073,0.0328004919101,0.00504610198314,0.000828313207231,0.793188013416,1,1,False,0.000828313207231,1.36477693978e-05,0.016476580692735363,,-1,,True,1.0,1.0,1.0,1.0,1,27.567853325083334,False,1.125,40,40,B000009,4,5,14,40,0.5479805818842821,0.4991099515997885,OK states=241 max_d=0.975786 alphaT=0.000502446 MPa,79.6347898111231,8.967765370161818,27.56785332508336,14.1812192185082,4.224844424365783,0.8057157123933065,20.542114555345783,0.755841494259381,13.398362760767496,0.21947967134276958,12.464659600709911,2.4669991011495553,60.26573436501834,0.11666137501641724,25.05172194125514,0.013992908732062546,15.526582560759936,11.426031145245984
