T0_C,p0_MPa,dPt_MPa,dT_C,ramp_h,inject_h,Pt_recover_h,T_recover_h,SH_MPa,cement_E_GPa,cement_alpha_uK,cement_kT,cement_rhoCp_MJ,cement_ft_MPa,interface_ft_MPa,cement_thickness_mm,rock_E_GPa,rock_alpha_uK,rock_kT,tubing_od_mm,ann_rhoCp_MJm3K,h_ta_Wm2K,h_ac_Wm2K,LambdaT_MPaK,chiP,tau_control_h,PA0_ratio,Pset_ratio,design_id,sample_region,Sh_MPa,observe_h,case_hash,fidelity,direct_peak_bulk_util,direct_peak_bulk_time_h,direct_peak_bulk_phase,direct_peak_cc_util,direct_peak_cc_time_h,direct_peak_cr_util,direct_peak_injection_bulk_util,direct_peak_post_bulk_util,direct_min_PA_MPa,direct_max_PA_MPa,direct_min_TA_C,direct_min_casing_inner_C,direct_pressure_clip_count,direct_max_thermal_iters,direct_mode,direct_min_casing_deltaT_C,direct_min_annulus_deltaT_C,direct_max_abs_PA_minus_Pt_MPa,direct_end_PA_MPa,direct_end_TA_C,direct_tau_ann_h,direct_tau_ann_over_ramp,direct_tau_control_over_Ptrecovery,direct_tau_control_over_ramp,direct_thermal_filter_fraction,direct_annulus_filter_fraction,completion_peak_bulk_util,completion_peak_bulk_time_h,completion_peak_bulk_phase,completion_peak_cc_util,completion_peak_cc_time_h,completion_peak_cr_util,completion_peak_injection_bulk_util,completion_peak_post_bulk_util,completion_min_PA_MPa,completion_max_PA_MPa,completion_min_TA_C,completion_min_casing_inner_C,completion_pressure_clip_count,completion_max_thermal_iters,completion_mode,completion_min_casing_deltaT_C,completion_min_annulus_deltaT_C,completion_max_abs_PA_minus_Pt_MPa,completion_end_PA_MPa,completion_end_TA_C,completion_tau_ann_h,completion_tau_ann_over_ramp,completion_tau_control_over_Ptrecovery,completion_tau_control_over_ramp,completion_thermal_filter_fraction,completion_annulus_filter_fraction,direct_system_util,completion_system_util,direct_governing_mode,completion_governing_mode,bias_system_util,ratio_system_util,bias_bulk_util,ratio_bulk_util,bias_cc_util,ratio_cc_util,bias_cr_util,ratio_cr_util,direct_failure,completion_failure,disagreement,disagreement_class,failure_mode_switch,direct_bulk_safe_completion_cc_failure,time_shift_bulk_h,post_injection_amplification,numerical_pass,pressure_clip_flag,physics_screen_pass,quality_pass
98.62465555109732,17.910401833554182,2.0143306868952546,82.77946504849024,0.4363782232117004,13.88110531739429,6.427718347946488,14.430068025584013,33.92656638913053,21.46336624900493,7.304265694779622,0.9700257767897658,2.056923629287365,7.252612817451429,1.2520190557947164,37.8989063921229,17.357847849476798,9.018228650045135,3.8133437656017657,131.16041087374256,3.017879227650739,97.27466332209099,124.55681222273974,0.0915018592846686,0.012956126491373737,25.542816485282152,0.8663352748637707,0.2059644261803013,0,global,26.74854140607207,37.88110531739429,9533e2103d1f0540,production,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,17.910401833549997,19.92473252045,15.845190502600019,15.845190502600019,0,0,direct,-82.7794650484973,-82.7794650484973,0.0,17.910401833549997,98.62465555110003,0.12682972006560317,0.29064172618915085,3.9738543449780295,58.53366443744502,1.0000000000000853,1.0000000000000853,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,6.86178479696,15.51641289539,30.59119823900005,38.117366498900026,0,20,completion,-60.507289052197294,-68.03345731209727,13.06294772349,8.265112602063,97.87141193770003,0.12682972006560317,0.29064172618915085,3.9738543449780295,58.53366443744502,0.7309456399211274,0.8218639401963385,0.0,0.0,bulk,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,0.0,0.0,1,0,1,1
58.04272438253795,14.470004761250017,2.085553242596009,28.99567433436874,1.2424836887359283,57.045098309030976,1.074456287542277,17.247517654387742,16.938843604087236,20.879846877088013,7.09604642556904,1.9140298916038991,1.9524857711127934,4.752055254603231,2.3467924261224207,33.356238499768,43.38448851297255,12.005371852850121,1.7835938746407578,117.17228591783334,2.053034245431081,389.4922997729909,30.64319245340153,0.09052678849991358,0.3182186998527457,12.821516600808275,0.5579870060666912,0.24796443111821104,1,global,10.525740536188989,81.04509830903098,6932e5085380d90f,production,0.1337273541187,1.2424836887358333,startup,0.0,0.0,0.0,0.1337273541187,0.0,14.470004761250001,16.55555800385,29.04705004820005,29.04705004820005,0,0,direct,-28.9956743343379,-28.9956743343379,0.0,14.470004761250001,58.04272438250001,0.0723530986957472,0.058232634642759316,11.933027661959475,10.319263517940074,0.9999999999989364,0.9999999999989364,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,3.124265439371,8.074074634501,29.9815729476,36.94011625320002,0,6,completion,-21.10260812933793,-28.061151434937948,12.936635216431998,4.31784836046,57.82864040550004,0.0723530986957472,0.058232634642759316,11.933027661959475,10.319263517940074,0.7277846993999684,0.9677702650176652,0.1337273541187,0.0,bulk,bulk,0.1337273541187,133727354118.7,0.1337273541187,133727354118.7,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,-1.2424836887358333,0.0,1,0,1,1
67.10346877850169,19.509534903822214,3.1934212501377095,24.32741717423944,0.34583897593908736,79.22969857180117,1.2601137595354368,62.086484400271075,9.231485979858403,7.955370387189498,10.800699486407773,1.0064863507913597,2.275721334239807,6.800738717527521,2.7707126806373137,32.89412041390872,33.46957327058451,10.97164571842842,1.7316032281267777,117.89335632431622,1.3105916790872194,131.41381125083865,164.76828354777592,0.09449199816510989,0.17203744752544842,9510.169437802377,0.39732653700112064,1.2849977936351156,2,global,7.209541417895637,150.62915563211288,e0739e42914c3df9,production,0.2806607793583,1.834213685295,injection,0.0,0.0,0.0,0.2806607793583,0.1850039122911,19.50953490382,22.702956153960002,42.77605160430005,42.77605160430005,0,0,direct,-24.327417174201642,-24.327417174201642,0.0,19.50953490382,67.10346877850003,0.04903458561666208,0.1417844402398952,7547.072132049783,27498.836451208448,0.9999999999984464,0.9999999999984464,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,5.862145927249999,8.025362333934,45.109046044000024,46.20584426930003,0,23,completion,-20.897624509201663,-21.99442273450167,16.405689905885,8.025362333934,66.91676661550002,0.04903458561666208,0.1417844402398952,7547.072132049783,27498.836451208448,0.8590153389292136,0.904100200073512,0.2806607793583,0.0,bulk,bulk,0.2806607793583,280660779358.30005,0.2806607793583,280660779358.30005,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,-1.834213685295,0.0,1,0,1,1
85.34243802850838,8.175756337850542,5.422296365182993,39.05312367207014,1.3318524897308046,105.71290800151624,4.81115044350018,32.548336086576,23.45838773005104,17.87228766436915,12.4574045416188,1.2537722917867986,1.8394922753821714,2.6034715078579773,1.5399330869155916,43.05080458332825,35.314622162463266,12.383235870296996,3.9353228805933123,81.15351517264969,2.489673060742631,58.22175211311431,418.2811251844852,0.03298991086493397,0.307475675298406,165.30431115803833,1.0229377243602913,0.7084576747301043,3,global,15.458069488524622,143.14349450107864,5dba84d4c22a3e4c,production,0.1088767397842,1.3318524897308335,startup,0.0,0.0,0.0,0.1088767397842,0.0,8.175756337851,13.59805270303,46.28931435640004,46.28931435640004,0,0,direct,-39.05312367210834,-39.05312367210834,0.0,8.175756337851,85.3424380285,0.06536573694744933,0.04907881124332404,34.358582858568255,124.1160807466372,1.000000000000978,1.000000000000978,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,5.993037185933001,9.657110741045,61.397932771499995,62.251265821200036,0,51,completion,-23.091172207308347,-23.944505257008387,5.990273298775,6.572422526528,84.53135350500003,0.06536573694744933,0.04907881124332404,34.358582858568255,124.1160807466372,0.5912759348318813,0.6131265057840412,0.1088767397842,0.0,bulk,bulk,0.1088767397842,108876739784.2,0.1088767397842,108876739784.2,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,-1.3318524897308335,0.0,0,0,1,0
81.45583476840072,14.876111154589154,3.115562353525993,51.38318772547271,0.43756995911305524,24.809006033464733,10.68513984475814,34.31223785374091,24.587511949660943,18.210117340645102,8.699487913588865,1.814364893408041,2.2456183556108607,5.813458861021727,2.232720235607913,44.28582388428889,44.02778642141404,6.436713934476899,1.8068036287605138,105.8447450189481,3.189114478357155,30.313649336020827,508.64791151811073,0.007828785150217106,0.23175578481194828,1786.3569116785209,0.5216900673947776,0.5689670937589378,4,global,20.57837368578565,64.26807956526677,263fb5867b7cd433,production,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,14.87611115459,17.99167350812,30.07264704290003,30.07264704290003,0,0,direct,-51.38318772550069,-51.38318772550069,0.0,14.87611115459,81.4558347684,0.06077429266376302,0.1388904594523609,167.18142557159535,4082.448702144515,1.0000000000005445,1.0000000000005445,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,7.5752488654859995,8.441264736652,51.888220124300005,52.56679552420002,0,51,completion,-28.889039244200703,-29.567614644100715,9.737974551447001,7.7537981932,78.19278294080004,0.06077429266376302,0.1388904594523609,167.18142557159535,4082.448702144515,0.5622274623860918,0.5754336379843336,0.0,0.0,bulk,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,0.0,0.0,0,0,1,0
77.42067352645375,18.758684513214718,8.839124820977313,63.11339763548585,2.6734482121528176,16.753024379166956,2.5385890784579654,48.195517777717754,21.967316864897597,7.414244592495725,10.224157704839094,2.0851647979238717,1.916473985095049,6.113735798896974,1.4192884716590861,29.44281712968347,37.938708097532306,10.079642755124237,3.2070096857970984,74.16931709401594,3.341766946003773,256.76787520020196,102.94750710285186,0.05658617571504583,0.2894099270247311,1.026411875650523,0.5637234567380713,1.1481806584397123,5,global,18.962166315638733,72.17786982354237,4f24631bc1ae4f9c,production,0.05137826789281,2.673448212152778,startup,0.0,0.0,0.0,0.05137826789281,0.0,18.75868451321,27.59780933419,14.307275891000018,14.307275891000018,0,0,direct,-63.11339763545374,-63.11339763545374,0.0,18.75868451321,77.42067352650002,0.20200092778724762,0.07555819741298996,0.40432375777571855,0.38392809368242664,0.9999999999994912,0.9999999999994912,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,10.57471047765,21.604502282389998,23.302533687600032,31.583802721900042,0,13,completion,-45.83687080455371,-54.11813983885372,8.18397403556,21.54223336991,77.0472154414,0.20200092778724762,0.07555819741298996,0.40432375777571855,0.38392809368242664,0.7262621332682251,0.8574746704561109,0.05137826789281,0.0,bulk,bulk,0.05137826789281,51378267892.81,0.05137826789281,51378267892.81,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,-2.673448212152778,0.0,1,0,1,1
97.02265193588325,9.924835641529285,10.38952554132782,23.910163073484703,0.5589241558569602,215.44015029793198,2.818298902617198,93.92080954019467,37.64167315527415,12.894953063128558,14.643919049225799,1.8959451031905374,2.084523494024298,5.080430702697739,2.6775763297943795,25.36726365256812,20.966149922343217,6.276720888973151,2.7513635085454804,110.67424936435147,2.32756356737963,37.870686879048485,369.41103984178625,0.01618887040824999,0.32650179232703486,152.3314823893938,0.9604816906375522,0.6491966989678227,6,global,24.474006068988952,323.44908126915584,2a94b658812565f3,production,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,9.924835641528999,20.314361182859997,73.11248886240003,73.11248886240003,0,0,direct,-23.91016307348322,-23.91016307348322,0.0,9.924835641528999,97.0226519359,0.0574535994916295,0.1027931945498756,54.05086105236461,272.5441024387904,0.9999999999999379,0.9999999999999379,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,4.588125861847,12.834164868279998,82.62544294410003,83.16510923890002,0,49,completion,-13.85754269698323,-14.397208991783216,12.348581999811998,5.670327975915,96.8734033069,0.0574535994916295,0.1027931945498756,54.05086105236461,272.5441024387904,0.5795670508140792,0.6021376327520357,0.0,0.0,bulk,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,0.0,0.0,1,0,1,1
58.25967454596311,14.20242400902556,6.110759158256835,73.25967454596311,3.545790671103153,125.22504689076015,0.184063872523473,24.3633751052062,15.314804244423101,13.802808056766722,7.4048977232141375,1.7406682477845508,1.8700688232491591,4.977864065828535,3.913065335918204,40.47100920168862,30.073232349580934,11.300717895383404,3.719283225781832,90.70180544369704,1.2227263849539638,151.81401924532568,37.43043311842003,0.0397594779825607,0.128184654420793,829.9224634327728,0.9451157068420895,1.0514865843746033,7,global,13.348888518003115,153.2429282617473,6270e7c32a6d8a8e,production,0.1371491073254,3.5457906711027776,startup,0.0,0.0,0.0,0.1371491073254,0.0,14.202424009029999,20.31318316728,-15.0,-15.0,0,0,direct,-73.25967454596311,-73.25967454596311,0.0,14.202424009029999,58.25967454600004,0.1269252912933375,0.035796047501543284,4508.882987490855,234.05850497501888,1.0,1.0,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,11.38883460903,13.90574699208,-4.356516965499964,15.220960375300024,0,9,completion,-43.038714170663084,-62.61619151146307,8.510232251489997,13.90574699208,57.38139989550001,0.1269252912933375,0.035796047501543284,4508.882987490855,234.05850497501888,0.5874816457676263,0.8547156658766984,0.1371491073254,0.0,bulk,bulk,0.1371491073254,137149107325.40001,0.1371491073254,137149107325.40001,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,-3.5457906711027776,0.0,1,0,1,1
59.47706048907716,9.36709523610042,2.6221835341630535,58.98695870592789,6.424285566426234,190.57935142962546,0.2165488426849876,45.422350614057365,32.67270571009006,8.155612498743777,12.61821620711246,0.7329201102851362,2.383107643689247,5.734727577627584,2.077827981595539,24.745253138237345,38.52575900235932,11.755559618280671,2.443340133591198,76.46910305777736,3.984967236816975,457.1187190150403,56.680771689851696,0.06467472461493791,0.2331066210141403,291.39651193865853,0.20961600011765227,0.2242292849337304,8,global,25.839965253569545,242.81505463579143,db84509d0de3683d,production,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,9.367095236099999,11.98927877026,0.4901017831000445,0.4901017831000445,0,0,direct,-58.986958705977116,-58.986958705977116,0.0,9.367095236099999,59.47706048910004,0.20416540274765593,0.031780250214068724,1345.6387405521784,45.35858640243471,1.0000000000008344,1.0000000000008344,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,0.1,3.95351688119,3.3577847788999975,12.200393176800048,9,8,completion,-47.27666731227711,-56.11927571017716,11.88927877026,3.9320157937099998,59.26525465870003,0.20416540274765593,0.031780250214068724,1345.6387405521784,45.35858640243471,0.8014766034636407,0.9513844575366701,0.0,0.0,bulk,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,0.0,0.0,1,1,0,0
49.43466457668229,17.81261507118478,7.665275452412559,32.025658166784694,2.2210495640676724,14.8372567917003,0.5012613864355854,51.976227024600725,37.492156012472904,22.392491239653463,14.22293731779967,1.5059267422930809,1.8149545245128502,4.362071583806813,1.8476568570062473,18.999597139297997,25.403357695243216,9.0320306351282,2.482845752499509,89.29527127310202,1.4850971459051545,98.39600119827729,340.594884432164,0.007066196645526899,0.1814719916677223,1.0171753811212298,0.7998151494079082,0.512159849382566,9,global,30.551339202213367,74.60991786999114,e7e99dc1e467fc0e,production,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,17.81261507118,25.4778905236,17.40900640990003,17.40900640990003,0,0,direct,-32.02565816678226,-32.02565816678226,0.0,17.81261507118,49.434664576700015,0.04294807982343265,0.019336839896889432,2.029231472135231,0.45797059083110037,0.999999999999924,0.999999999999924,0.0,0.0,initial,0.0,0.0,0.0,0.0,0.0,8.19069904113,14.24679938451,25.677964401600036,26.738669184200035,0,45,completion,-22.695995392482253,-23.75670017508225,16.355868091679,9.123285561248,49.008659945900035,0.04294807982343265,0.019336839896889432,2.029231472135231,0.45797059083110037,0.7086816225379352,0.7418020904164098,0.0,0.0,bulk,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,both_safe,0,0,0.0,0.0,1,0,1,1
