feature,all_min,all_max,all_median,quality_min,quality_max,quality_median
T0_C,45.06559788832864,109.9918725301901,80.75794444534586,45.06559788832864,109.9918725301901,80.36804903607879
p0_MPa,8.006231448229574,19.99741163976586,13.998059215921284,8.006231448229574,19.99741163976586,14.17925455566862
dPt_MPa,2.0015746343348524,11.998907582974496,7.0005905486480655,2.0015746343348524,11.998907582974496,7.002781117767228
dT_C,20.07753013305601,109.901634135623,68.20336437280906,20.07753013305601,109.57257868163023,67.61626819493738
ramp_h,0.2507159106663622,7.985076469278271,1.166121179300415,0.2507159106663622,7.985076469278271,1.185983814406883
inject_h,12.003606324519115,239.8467390497941,44.07945500833843,12.04869830796034,239.8467390497941,44.06750933062565
Pt_recover_h,0.100056973887903,11.991725411298097,1.0940365583641025,0.1003065147347472,11.991725411298097,1.1061086987705142
T_recover_h,12.010969658148325,239.9166799101124,53.66641213024343,12.010969658148325,239.9166799101124,54.45410225539585
SH_MPa,7.0063623334089815,44.984951236811575,19.891158802044835,7.0063623334089815,44.984951236811575,20.120791691126
cement_E_GPa,6.002516679444869,23.99738050870159,13.876235531942289,6.002516679444869,23.96108835631601,13.910891663703042
cement_alpha_uK,7.008610882804114,14.991859457932105,10.999372081124449,7.013278577539539,14.991585001060184,11.000716663560468
cement_kT,0.5506967628108966,2.198962296123759,1.3750020850011855,0.5506967628108966,2.198962296123759,1.375093872612274
cement_rhoCp_MJ,1.4005902727113104,2.4999184749253685,1.9500779618011888,1.4005902727113104,2.4999184749253685,1.952607814985392
cement_ft_MPa,2.5015942057648,7.994289651499249,4.637429646838675,2.5015942057648,7.994289651499249,4.672796713985209
interface_ft_MPa,0.8020238207527908,3.996261442488007,2.102731234346028,0.8020238207527908,3.996261442488007,2.1063147935210678
cement_thickness_mm,18.015173126861875,49.97265296192518,34.00379532122229,18.015173126861875,49.97265296192518,34.16786019340351
rock_E_GPa,7.002777917622446,44.99635375580299,25.998214285808285,7.002777917622446,44.99347060474452,25.82635565781177
rock_alpha_uK,6.002476037125588,12.997921695790684,9.502322889141785,6.002476037125588,12.997921695790684,9.473188608147709
rock_kT,1.400512021579222,3.998144282296176,2.700015038396786,1.4028859123341304,3.998144282296176,2.700830423766205
tubing_od_mm,73.02324416428335,139.98562759017435,106.49461686973245,73.06928976715523,139.98562759017435,106.44263123207318
ann_rhoCp_MJm3K,1.2021296697189037,4.197395793697092,2.7006367323639893,1.2021296697189037,4.197395793697092,2.728263847394944
h_ta_Wm2K,20.03669913870673,598.7419633355212,109.48554109386288,20.03669913870673,598.7419633355212,122.67577099881488
h_ac_Wm2K,20.01475014179248,599.631985937812,109.48301013918777,20.01475014179248,597.3251062814483,92.4740890759323
LambdaT_MPaK,4.073292552070156e-05,0.099982482815858,0.0499865351979383,4.073292552070156e-05,0.099982482815858,0.0487198377829713
chiP,0.0001524315980626,0.3495678503158029,0.17500690810669417,0.0005480662141323,0.3495678503158029,0.1757601332991274
tau_control_h,0.1504845766463632,19968.967018721843,54.75741848506652,0.1504845766463632,19968.967018721843,48.87365783794055
PA0_ratio,0.2005974737024883,1.0498167307507755,0.6248009483525422,0.2009530753101235,1.0498167307507755,0.6389174944603095
Pset_ratio,0.1003418639049177,1.299159961615955,0.7002750633851857,0.1003418639049177,1.299159961615955,0.7007665385592003
Sh_MPa,3.757317596014564,42.95588798748428,14.024330018787275,3.757317596014564,42.95588798748428,14.126466432428908
stress_ratio,0.5004207061550394,0.9998048472106178,0.7288190730391537,0.5004207061550394,0.9998048472106178,0.7303776406220056
