pair_id,invariant_max_abs_mismatch,dT_high_K,dT_ratio,dp_high_MPa,dp_ratio,hold_h,gap_h,ramp_up_h,ramp_down_h,wall_reset_h,recovery_h,pre_relax_days,SHmax_MPa,stress_ratio,ecc_ratio,Ecement_GPa,nu_cement,alpha_c_e6,k_cement_WmK,cap_cement_MJm3K,rinf,tau1_h,tau2_days,shiftK_K,thermal_diffusion_time_h,tau1_cold_h,tau2_cold_days,Fourier_hold,Deborah1_high,Deborah2_high,gap_over_tau1_ref,high_peak_LH_MPa,high_peak_HL_MPa,order_effect_high_peak_MPa,order_effect_high_peak_pct,high_cycle_peak_LH_MPa,high_cycle_peak_HL_MPa,order_effect_high_cycle_peak_MPa,global_peak_LH_MPa,global_peak_HL_MPa,order_effect_global_peak_MPa,residual_LH_MPa,residual_HL_MPa,order_effect_residual_MPa,memory_before_high_LH_MPa,memory_before_high_HL_MPa,pre_high_temperature_LH_K,pre_high_temperature_HL_K,loop_LH_MPa_mm,loop_HL_MPa_mm,order_effect_loop_MPa_mm,safer_sequence_high_episode,safer_sequence_high_cycle,sequence_benefit_abs_MPa
P000000,4.547473508864641e-13,74.48277081680135,0.5125973605362043,8.682904826004723,0.44529064953812475,29.392882250926526,29.35295504987299,2.5212849220646407,2.545861255220751,0.33033913378977614,58.28868407480455,82.06030195889731,27.139732846121806,0.6799235397306553,0.023221493566694146,16.035550365606888,0.19758256758858633,10.53889315990484,1.0205310116447461,1.6082279356177105,0.7769093563782337,11.014611183861339,2.1411210281337145,3558.1766586800177,0.36814159557393816,298.06105493427384,57.93983843229648,79.84124207725723,10.140586159252154,47.30928088317308,2.6649106863509697,4.065946718,4.126703898,-0.06075717999999952,-1.4722931788114333,4.065946718,4.126703898,-0.06075717999999952,4.065946718,4.126703898,-0.06075717999999952,-8.712324513,-8.720953396,0.008628883000000087,0.1827817172,1.666746622e-13,322.3892707,323.15,0.0942100307779502,0.09440861853831355,-0.0001985877603633418,LH,LH,0.06075717999999952
P000001,4.547473508864641e-13,57.04138177798244,0.6131930870570343,3.5813656002986325,0.5108688423423289,23.49238572819279,29.19324470115252,2.3978178102417775,0.2542215553679909,3.4717925024029035,48.72313174652956,109.50041930819239,18.90343793712419,0.9218942006675506,0.03708854242021554,15.81485389838005,0.1881794490034352,8.529385911211394,0.7152859091867825,2.0109446637784867,0.3930314956377556,3.493234906143585,23.82077921253471,3998.5543483520955,0.6567709656441437,49.55944051977061,337.9516471800873,35.7695253856907,2.1095958960138823,345.25397403927445,8.35708032397423,1.233115555,1.234694289,-0.0015787339999999705,-0.12786436400208948,1.233115555,1.234694289,-0.0015787339999999705,1.233115555,1.234694289,-0.0015787339999999705,-4.988297871,-4.990023854,0.001725983000000042,0.3155184499,0.3163402329,322.4733886,323.15,0.09527787434701035,0.09549598669444606,-0.00021811234743571162,LH,LH,0.0015787339999999705
P000002,0.0,70.56457108583561,0.7429518835052241,6.829945273349691,0.47499441544626386,16.945996086627652,15.261722158306116,1.8947525979510031,0.5609964982778968,2.0397270598661628,66.64735038484893,149.27671972704505,25.884445467044443,0.8984979507044625,0.6053467010455107,9.948884901313752,0.21640773313027098,10.28759304216758,1.6693224184656743,2.3363353485747305,0.46687376618124976,17.00506364241247,11.635890026801162,1893.9304331032322,0.3269553506687847,87.43091262764138,59.82550290142688,51.82969494753563,5.159384681826668,84.72869120790526,0.8974810373682888,1.253046949,1.458595083,-0.20554813400000005,-14.092199843237784,1.253046949,1.458595083,-0.20554813400000005,1.253046949,1.458595083,-0.20554813400000005,-6.632244745,-6.631968088,-0.0002766570000005686,0.4587088825,0.0007175658583,322.0362629,323.15,0.14447230468435154,0.14464542575331724,-0.00017312106896569257,LH,LH,0.20554813400000005
P000003,2.842170943040401e-14,71.94115764285944,0.6619876868325081,5.193027750030547,0.5603219206949993,18.61823811611503,14.528345743318107,2.839534512338696,1.9825352320622112,2.242935285191872,24.978020169244655,101.64932625574956,24.24746274145142,0.641174856308116,0.34754311882415884,14.223572177853603,0.19994429710201797,12.509227186595679,0.7507306212549123,2.351924524661249,0.5140801636189248,11.83351219758934,15.161254752459906,3228.411563036221,0.7318679775405412,206.85070253179802,265.01989810335147,25.43933972720331,11.110111560597039,341.6261793845637,1.2277289701258556,7.687781431,7.869213664,-0.18143223299999978,-2.3055954603191693,7.687781431,7.869213664,-0.18143223299999978,7.687781431,7.869213664,-0.18143223299999978,-4.861695605,-4.885506764,0.023811158999999193,0.4723014208,0.03507008142,321.5456475,323.15,0.13445026893405915,0.1355335348635819,-0.0010832659295227642,LH,LH,0.18143223299999978
P000004,0.0,60.875322135972056,0.37762756761318744,6.159071267159092,0.5912130404207487,18.964409363110214,27.26594201568105,2.4939734837018386,1.6911049025013405,3.2955604097313125,91.8594092519022,51.59977091238859,30.55238090598904,0.7859799659506769,0.5955835112557865,10.202079149825053,0.24351230717881306,10.385461098287657,1.544406635754906,2.2840392524318704,0.4968341189156608,23.411986340441715,3.713392584886111,3287.1866934483946,0.3454899345995033,248.21561387388516,39.369663325835056,54.891351277987354,13.088496937675108,49.82342986426021,1.1646146388092684,-0.96522421,-0.8274343289,-0.1377898811,-13.77898811,-0.96522421,-0.8274343289,-0.1377898811,-0.96522421,-0.8274343289,-0.1377898811,-8.588754138,-8.591675,0.0029208619999998575,0.251021989,0.0004584801955,322.8276041,323.15,0.10344522823104117,0.10385771404877675,-0.0004124858177355778,LH,LH,0.1377898811
P000005,0.0,89.21224834956658,0.4198912033267628,3.956597666837162,0.7573825073189213,21.717169271288334,13.885018520526604,2.255687126552116,2.4328622877213397,3.1511963883404843,35.075547993826426,154.64681853963054,34.16914142962278,0.5946853933579943,0.23997862278336363,10.176547355874607,0.26356315475352,10.18539500634483,1.5424396723298237,1.885485736152919,0.6790293002477166,7.6723080962019745,4.209036335214498,2906.0755201170923,0.2855673552155939,236.76940951641686,129.89194844967355,76.04920126424321,10.902406596307333,143.54572291857585,1.8097576826196682,1.579356047,1.65877923,-0.07942318299999984,-4.788050245842531,1.579356047,1.65877923,-0.07942318299999984,1.579356047,1.65877923,-0.07942318299999984,-8.762863054,-8.772635911,0.009772856999999746,0.2659686943,3.697083459e-12,322.2108332,323.15,0.06960688087927046,0.07019737224892703,-0.0005904913696565678,LH,LH,0.07942318299999984
P000006,0.0,90.81599228233556,0.3596470768050898,6.7901696472732365,0.6585272113969305,9.708646476732666,24.45579413616892,0.809568069382782,2.677070954353918,1.4756340270034525,55.70066560044644,100.25188802573822,19.206803818852705,0.8701900986917128,0.6320795077070396,12.942144485675106,0.18993524898915665,11.73177021832067,1.4631330369197344,1.7384685159159514,0.7888303580848522,33.59523993208903,22.073529295031115,1285.0620456040092,0.27757254561745615,158.9847618045971,104.45988194313509,34.97696955271971,16.37558460755712,258.22725882989994,0.7279541442658243,7.417864089,7.485010468,-0.06714637899999953,-0.8970779571660519,7.417864089,7.485010468,-0.06714637899999953,7.417864089,7.485010468,-0.06714637899999953,-6.551024224,-6.55194262,0.0009183960000003211,0.1513733183,0.03062814121,322.7766361,323.15,0.17533149732064493,0.1765583186362919,-0.0012268213156469698,LH,LH,0.06714637899999953
P000007,5.684341886080802e-14,85.77017438372553,0.38693381194520193,6.473905896945235,0.5152580341452133,22.960233115932645,8.98543158407421,2.3532735073549578,3.929168847863677,0.2666208484571512,41.42376863310003,167.27566036535544,18.569636400419462,0.6782734910283065,0.17987388667258744,14.825931682651083,0.21831875224817515,11.6260508347738,1.3858144549855091,2.4446915711509636,0.5788995553800101,16.127581680782445,8.286990056029499,3675.608235828073,0.41210936442896096,982.6973491074544,504.948808899471,55.71393202323242,42.799972637278564,527.8156956158168,0.5571468656569392,10.85156201,11.18185601,-0.3302940000000003,-2.953838787627174,10.85156201,11.18185601,-0.3302940000000003,10.85156201,11.18185601,-0.3302940000000003,-4.529847348,-4.548428471,0.018581123000000588,0.6239027011,8.791065609e-07,321.7027799,323.15,0.008912755599704773,0.006646155850985995,0.002266599748718778,LH,LH,0.3302940000000003
P000008,0.0,64.52062909591697,0.512339293530764,7.990386964110256,0.7560126770837052,25.9948411037808,5.610296107711815,1.101737936513639,1.1192279523640583,2.578018855600156,39.532486908615965,121.78291011195314,39.36399305409829,0.8256626695467326,0.3582163200841879,13.395372236905292,0.25723609631522426,10.256485151519891,0.8116824690686363,2.042156293434548,0.6437400116928143,3.731549874776702,4.50391863453031,3117.4317130957834,0.5877549644742323,41.40812042331017,49.97891263789741,44.227344174003036,1.5929360852022136,46.143536654858735,1.5034761147464333,-7.68110784,-7.496538138,-0.1845697020000001,-2.462065804273243,-7.68110784,-7.496538138,-0.1845697020000001,-7.68110784,-7.496538138,-0.1845697020000001,-18.02829499,-18.03425972,0.005964730000002305,0.4259865977,4.338924822e-09,320.9071687,323.15,0.17328524714488486,0.17436154323653374,-0.0010762960916488873,LH,LH,0.1845697020000001
P000009,4.547473508864641e-13,92.96702997161961,0.6246670470191524,7.77154304738713,0.43276580492076433,13.448820790659234,24.265035056306584,2.9231768453432925,1.2609233973961855,2.762873762570701,37.67905834195935,25.985226962243587,21.68669761988453,0.6049503031054284,0.3926567984612501,16.22555866283678,0.2020400655577788,13.958972609519913,0.9226071050214066,1.6706856173798685,0.7746997211223174,26.922473786058458,6.532186424382361,1780.136664764263,0.42303025986821163,249.0946623194159,60.437714027289424,31.791628321929025,18.52167310404066,107.85370399629255,0.9012929216360496,16.97943331,17.11233035,-0.13289703999999958,-0.7766156758421834,16.97943331,17.11233035,-0.13289703999999958,16.97943331,17.11233035,-0.13289703999999958,-5.009037826,-5.023913649,0.014875822999999677,0.3423921681,0.0678926327,322.2141252,323.15,0.3070382865680749,0.3081401714273758,-0.0011018848593009056,LH,LH,0.13289703999999958
