peak_cement_s1_MPa,peak_injection_s1_MPa,peak_post_s1_MPa,final_cement_s1_MPa,peak_cement_s1_centroid_MPa,final_cement_s1_centroid_MPa,peak_radial_tension_MPa,peak_cement_vm_MPa,peak_casing_vm_MPa,memory_qnorm_peak_MPa,time_peak_h,peak_phase,peak_episode,final_memory_qnorm_MPa,inner_ur_range_mm,cement_T_min_K,peak_casing_cement_s1_MPa,peak_cement_rock_s1_MPa,final_casing_cement_s1_MPa,final_cement_rock_s1_MPa,peak_s1_angle_deg,peak_s1_x_m,peak_s1_y_m,peak_s1_zone,memory_peak_angle_deg,post_minus_inj_MPa,postshut_amplification,delayed_peak,residual_shift_MPa,stress_displacement_loop_MPa_mm,high_episode,low_episode,high_injection_peak_s1_MPa,low_injection_peak_s1_MPa,high_post_peak_s1_MPa,low_post_peak_s1_MPa,high_cycle_peak_s1_MPa,low_cycle_peak_s1_MPa,high_injection_peak_s1_centroid_MPa,low_injection_peak_s1_centroid_MPa,memory_before_high_MPa,cement_T_before_high_K,memory_before_episode2_MPa,cement_T_before_episode2_K,wall_T_min_K,wall_P_max_MPa,total_elapsed_h,thermal_exposure_Kh,pressure_exposure_MPa_h,thermal_diffusion_time_h,tau1_cold_h,tau2_cold_days,Fourier_hold,Deborah1_high,Deborah2_high,gap_over_tau1_ref,dT_high_K,dT_ratio,dp_high_MPa,dp_ratio,hold_h,gap_h,ramp_up_h,ramp_down_h,wall_reset_h,recovery_h,pre_relax_days,SHmax_MPa,stress_ratio,ecc_ratio,Ecement_GPa,nu_cement,alpha_c_e6,k_cement_WmK,cap_cement_MJm3K,rinf,tau1_h,tau2_days,shiftK_K,case_id,pair_id,sequence,fidelity,schema_version,n_nodes,n_elems,n_states,solver_stdout
4.126703898,4.126703898,2.983810607,-8.720953396,3.72700645,-8.808268565,-9.897375964,25.21582342,215.7585178,4.689450569,9.37962411388889,1,1,0.1166422142,0.041892232269999996,259.4864522,4.126703898,-2.350914135,-8.720953396,-9.93808378,13.125,0.1031756887,0.02405719646,1,1.874999472,-1.1428932909999996,0.7230493587015291,False,-0.024919214000000522,0.09440861853831355,1,2,4.126703898,-2.525888444,2.983810607,-3.244376649,4.126703898,-2.525888444,3.72700645,-2.790079523,1.666746622e-13,323.15,0.1856838349,321.6659322,248.66722918319863,23.682904826004723,157.22237424868095,3758.932320827621,400.6553414242867,0.36814159557393816,298.06105493427384,57.93983843229648,79.84124207725723,10.140586159252154,47.30928088317308,2.6649106863509697,74.48277081680135,0.5125973605362043,8.682904826004723,0.44529064953812475,29.392882250926526,29.35295504987299,2.5212849220646407,2.545861255220751,0.33033913378977614,58.28868407480455,82.06030195889731,27.139732846121806,0.6799235397306553,0.023221493566694146,16.035550365606888,0.19758256758858633,10.53889315990484,1.0205310116447461,1.6082279356177105,0.7769093563782337,11.014611183861339,2.1411210281337145,3558.1766586800177,P000000_HL,P000000,HL,production,thermorheo-v2.0-interface-objective-R10,3381,3264,164,states=164 nodes=3381 elems=3264
4.065946718,4.065946718,2.924582002,-8.712324513,3.671143254,-8.797885467,-9.895308364,25.14893151,215.7818866,4.559858985,73.52294672222223,1,2,0.1271865807,0.041892062179999995,259.1389867,4.065946718,-2.319131382,-8.712324513,-9.892158312,13.125,0.1031756887,0.02405719646,1,1.874999472,-1.141364716,0.7192868487559949,False,-0.016290331000000435,0.0942100307779502,2,1,4.065946718,-2.512742199,2.924582002,-3.229456318,4.065946718,-2.512742199,3.671143254,-2.788004346,0.1827817172,322.3892707,0.1827817172,322.3892707,248.66722918319863,23.682904826004723,157.22237424868095,3758.9323208276214,400.6553414242867,0.36814159557393816,298.06105493427384,57.93983843229648,79.84124207725723,10.140586159252154,47.30928088317308,2.6649106863509697,74.48277081680135,0.5125973605362043,8.682904826004723,0.44529064953812475,29.392882250926526,29.35295504987299,2.5212849220646407,2.545861255220751,0.33033913378977614,58.28868407480455,82.06030195889731,27.139732846121806,0.6799235397306553,0.023221493566694146,16.035550365606888,0.19758256758858633,10.53889315990484,1.0205310116447461,1.6082279356177105,0.7769093563782337,11.014611183861339,2.1411210281337145,3558.1766586800177,P000000_LH,P000000,LH,production,thermorheo-v2.0-interface-objective-R10,3381,3264,164,states=164 nodes=3381 elems=3264
1.234694289,1.234694289,-0.8697201064,-4.990023854,0.8369430656,-5.100917246,-8.741924747,15.52732233,160.1033755,7.174826945,2.3978178102777776,1,1,0.3036309363,0.032598771309999997,277.3589894,1.234694289,-4.219241641,-4.990023854,-6.920917573,1.875,0.1058865229,0.003466365849,1,178.1249992,-2.1044143954,-0.7044011737548419,False,-0.007378450000000036,0.09549598669444606,1,2,1.234694289,-1.371096386,-0.8697201064,-2.911368946,1.234694289,-1.371096386,0.8369430656,-1.677629817,0.3163402329,323.15,0.3105010384,322.0465769,266.1086182220175,18.581365600298632,137.148811640093,2455.1905614185866,134.29173891830928,0.6567709656441437,49.55944051977061,337.9516471800873,35.7695253856907,2.1095958960138823,345.25397403927445,8.35708032397423,57.04138177798244,0.6131930870570343,3.5813656002986325,0.5108688423423289,23.49238572819279,29.19324470115252,2.3978178102417775,0.2542215553679909,3.4717925024029035,48.72313174652956,109.50041930819239,18.90343793712419,0.9218942006675506,0.03708854242021554,15.81485389838005,0.1881794490034352,8.529385911211394,0.7152859091867825,2.0109446637784867,0.3930314956377556,3.493234906143585,23.82077921253471,3998.5543483520955,P000001_HL,P000001,HL,production,thermorheo-v2.0-interface-objective-R10,3381,3264,144,states=144 nodes=3381 elems=3264
1.233115555,1.233115555,-0.8731322193,-4.988297871,0.840515308,-5.097975472,-8.732109088,15.51815456,160.1518126,7.164341711,61.20728011111111,1,2,0.3030425652,0.03257142704,276.9976251,1.233115555,-4.167302707,-4.988297871,-6.896025764,1.875,0.1058865229,0.003466365849,1,178.1249992,-2.1062477743,-0.7080700715838428,False,-0.005652466999999994,0.09527787434701035,2,1,1.233115555,-1.375968639,-0.8731322193,-2.91182909,1.233115555,-1.375968639,0.840515308,-1.690544344,0.3155184499,322.4733886,0.3155184499,322.4733886,266.1086182220175,18.581365600298632,137.148811640093,2455.190561418586,134.29173891830925,0.6567709656441437,49.55944051977061,337.9516471800873,35.7695253856907,2.1095958960138823,345.25397403927445,8.35708032397423,57.04138177798244,0.6131930870570343,3.5813656002986325,0.5108688423423289,23.49238572819279,29.19324470115252,2.3978178102417775,0.2542215553679909,3.4717925024029035,48.72313174652956,109.50041930819239,18.90343793712419,0.9218942006675506,0.03708854242021554,15.81485389838005,0.1881794490034352,8.529385911211394,0.7152859091867825,2.0109446637784867,0.3930314956377556,3.493234906143585,23.82077921253471,3998.5543483520955,P000001_LH,P000001,LH,production,thermorheo-v2.0-interface-objective-R10,3381,3264,144,states=144 nodes=3381 elems=3264
1.458595083,1.458595083,-0.4922457332,-6.631968088,1.072471047,-6.776748782,-8.544970418,17.45798292,198.7730876,7.328188578,4.885222494444444,1,1,0.1610320214,0.0416038571,261.5939299,1.458595083,-2.220621017,-6.631968088,-8.821063355,1.875,0.1058865229,0.003466365849,1,178.124988,-1.9508408162,-0.3374793586905297,False,-0.050769359000000236,0.14464542575331724,1,2,1.458595083,-1.284478022,-0.4922457332,-2.360518369,1.458595083,-1.284478022,1.072471047,-1.586203873,0.0007175658583,323.15,0.4472710931,321.6509298,252.58542891416437,21.82994527334969,124.79201702860048,2395.1485433869116,183.0859560229897,0.3269553506687847,87.43091262764138,59.82550290142688,51.82969494753563,5.159384681826668,84.72869120790526,0.8974810373682888,70.56457108583561,0.7429518835052241,6.829945273349691,0.47499441544626386,16.945996086627652,15.261722158306116,1.8947525979510031,0.5609964982778968,2.0397270598661628,66.64735038484893,149.27671972704505,25.884445467044443,0.8984979507044625,0.6053467010455107,9.948884901313752,0.21640773313027098,10.28759304216758,1.6693224184656743,2.3363353485747305,0.46687376618124976,17.00506364241247,11.635890026801162,1893.9304331032322,P000002_HL,P000002,HL,production,thermorheo-v2.0-interface-objective-R10,3381,3264,130,states=130 nodes=3381 elems=3264
1.253046949,1.253046949,-0.6740730406,-6.632244745,0.8780440482,-6.77700305,-8.596683438,17.2291913,198.5679766,6.975630769,41.58841688888889,1,2,0.1670158767,0.04160713332,261.1008999,1.253046949,-2.356398634,-6.632244745,-8.819723188,1.875,0.1058865229,0.003466365849,1,178.124988,-1.9271199896,-0.5379471544445698,False,-0.051046016000000805,0.14447230468435154,2,1,1.253046949,-1.088835512,-0.6740730406,-2.202916379,1.253046949,-1.088835512,0.8780440482,-1.402348724,0.4587088825,322.0362629,0.4587088825,322.0362629,252.58542891416437,21.82994527334969,124.79201702860048,2395.1485433869116,183.0859560229897,0.3269553506687847,87.43091262764138,59.82550290142688,51.82969494753563,5.159384681826668,84.72869120790526,0.8974810373682888,70.56457108583561,0.7429518835052241,6.829945273349691,0.47499441544626386,16.945996086627652,15.261722158306116,1.8947525979510031,0.5609964982778968,2.0397270598661628,66.64735038484893,149.27671972704505,25.884445467044443,0.8984979507044625,0.6053467010455107,9.948884901313752,0.21640773313027098,10.28759304216758,1.6693224184656743,2.3363353485747305,0.46687376618124976,17.00506364241247,11.635890026801162,1893.9304331032322,P000002_LH,P000002,LH,production,thermorheo-v2.0-interface-objective-R10,3381,3264,130,states=130 nodes=3381 elems=3264
7.869213664,7.869213664,6.878449365,-4.885506764,7.288049411,-5.000284016,-7.166259478,22.79456322,218.7065077,10.50279894,6.759163588888889,1,1,0.3822547209,0.040127381340000004,265.6416059,7.869213664,1.6452054,-4.885506764,-5.999667099,24.375,0.09649987052,0.0437235225,1,91.87476026,-0.9907642990000003,0.8740961497166434,False,-0.09174755799999978,0.1355335348635819,1,2,7.869213664,3.203745413,6.878449365,2.369878452,7.869213664,3.203745413,7.288049411,2.76198971,0.03507008142,323.15,0.4176796319,320.7264618,251.20884235714055,20.193027750030545,90.87285220397837,2766.9815793446132,170.39588872048006,0.7318679775405412,206.85070253179802,265.01989810335147,25.43933972720331,11.110111560597039,341.6261793845637,1.2277289701258556,71.94115764285944,0.6619876868325081,5.193027750030547,0.5603219206949993,18.61823811611503,14.528345743318107,2.839534512338696,1.9825352320622112,2.242935285191872,24.978020169244655,101.64932625574956,24.24746274145142,0.641174856308116,0.34754311882415884,14.223572177853603,0.19994429710201797,12.509227186595679,0.7507306212549123,2.351924524661249,0.5140801636189248,11.83351219758934,15.161254752459906,3228.411563036221,P000003_HL,P000003,HL,production,thermorheo-v2.0-interface-objective-R10,3381,3264,95,states=95 nodes=3381 elems=3264
7.687781431,7.687781431,6.704513869,-4.861695605,7.118544327,-4.974869815,-7.185876969,22.57357585,218.7435157,10.1173635,46.97075247222222,1,2,0.4137916261,0.04012375324,264.97483,7.687781431,1.594042959,-4.861695605,-5.954549813,24.375,0.09649987052,0.0437235225,1,91.87476026,-0.983267562,0.8720999587689761,False,-0.06793639900000059,0.13445026893405915,2,1,7.687781431,3.295488928,6.704513869,2.45095436,7.687781431,3.295488928,7.118544327,2.836521617,0.4723014208,321.5456475,0.4723014208,321.5456475,251.20884235714055,20.193027750030545,90.87285220397837,2766.9815793446132,170.3958887204801,0.7318679775405412,206.85070253179802,265.01989810335147,25.43933972720331,11.110111560597039,341.6261793845637,1.2277289701258556,71.94115764285944,0.6619876868325081,5.193027750030547,0.5603219206949993,18.61823811611503,14.528345743318107,2.839534512338696,1.9825352320622112,2.242935285191872,24.978020169244655,101.64932625574956,24.24746274145142,0.641174856308116,0.34754311882415884,14.223572177853603,0.19994429710201797,12.509227186595679,0.7507306212549123,2.351924524661249,0.5140801636189248,11.83351219758934,15.161254752459906,3228.411563036221,P000003_LH,P000003,LH,production,thermorheo-v2.0-interface-objective-R10,3381,3264,95,states=95 nodes=3381 elems=3264
-0.8274343289,-0.8274343289,-1.571898916,-8.591675,-1.150086212,-8.723080045,-11.58979868,17.97003628,163.3809865,6.714193414,8.482734336111111,1,1,0.1333221804,0.035312665640000004,270.1711621,-0.8274343289,-3.782407904,-8.591675,-10.22636597,24.375,0.09649987052,0.0437235225,1,178.1249882,-0.7444645871000001,,False,-0.042362446000000276,0.10385771404877675,1,2,-0.8274343289,-5.502041625,-1.571898916,-6.11938876,-0.8274343289,-5.502041625,-1.150086212,-5.728552443,0.0004584801955,323.15,0.3015149229,322.2962596,262.2746778640279,21.159071267159092,172.01544758567266,1975.0095256577856,206.36640317892991,0.3454899345995033,248.21561387388516,39.369663325835056,54.891351277987354,13.088496937675108,49.82342986426021,1.1646146388092684,60.875322135972056,0.37762756761318744,6.159071267159092,0.5912130404207487,18.964409363110214,27.26594201568105,2.4939734837018386,1.6911049025013405,3.2955604097313125,91.8594092519022,51.59977091238859,30.55238090598904,0.7859799659506769,0.5955835112557865,10.202079149825053,0.24351230717881306,10.385461098287657,1.544406635754906,2.2840392524318704,0.4968341189156608,23.411986340441715,3.713392584886111,3287.1866934483946,P000004_HL,P000004,HL,production,thermorheo-v2.0-interface-objective-R10,3381,3264,177,states=177 nodes=3381 elems=3264
-0.96522421,-0.96522421,-1.703979359,-8.588754138,-1.283370549,-8.72042549,-11.62001296,17.82772083,163.3712825,6.508637419,62.1937245,1,2,0.1568230234,0.035361846169999996,270.0000151,-0.96522421,-3.890035271,-8.588754138,-10.22534339,24.375,0.09649987052,0.0437235225,1,178.1249882,-0.738755149,,False,-0.03944158400000042,0.10344522823104117,2,1,-0.96522421,-5.418202091,-1.703979359,-6.051360431,-0.96522421,-5.418202091,-1.283370549,-5.648763427,0.251021989,322.8276041,0.251021989,322.8276041,262.2746778640279,21.159071267159092,172.01544758567266,1975.0095256577856,206.36640317892991,0.3454899345995033,248.21561387388516,39.369663325835056,54.891351277987354,13.088496937675108,49.82342986426021,1.1646146388092684,60.875322135972056,0.37762756761318744,6.159071267159092,0.5912130404207487,18.964409363110214,27.26594201568105,2.4939734837018386,1.6911049025013405,3.2955604097313125,91.8594092519022,51.59977091238859,30.55238090598904,0.7859799659506769,0.5955835112557865,10.202079149825053,0.24351230717881306,10.385461098287657,1.544406635754906,2.2840392524318704,0.4968341189156608,23.411986340441715,3.713392584886111,3287.1866934483946,P000004_LH,P000004,LH,production,thermorheo-v2.0-interface-objective-R10,3381,3264,177,states=177 nodes=3381 elems=3264
