case_id,pair_id,sequence,dT_high_K,dT_ratio,dp_high_MPa,dp_ratio,hold_h,gap_h,ramp_up_h,ramp_down_h,wall_reset_h,recovery_h,pre_relax_days,SHmax_MPa,stress_ratio,ecc_ratio,Ecement_GPa,nu_cement,alpha_c_e6,k_cement_WmK,cap_cement_MJm3K,rinf,tau1_h,tau2_days,shiftK_K
P000000_LH,P000000,LH,74.48277081680135,0.5125973605362043,8.682904826004723,0.44529064953812475,29.392882250926526,29.35295504987299,2.5212849220646407,2.545861255220751,0.33033913378977614,58.28868407480455,82.06030195889731,27.139732846121806,0.6799235397306553,0.023221493566694146,16.035550365606888,0.19758256758858633,10.53889315990484,1.0205310116447461,1.6082279356177105,0.7769093563782337,11.014611183861339,2.1411210281337145,3558.1766586800177
P000000_HL,P000000,HL,74.48277081680135,0.5125973605362043,8.682904826004723,0.44529064953812475,29.392882250926526,29.35295504987299,2.5212849220646407,2.545861255220751,0.33033913378977614,58.28868407480455,82.06030195889731,27.139732846121806,0.6799235397306553,0.023221493566694146,16.035550365606888,0.19758256758858633,10.53889315990484,1.0205310116447461,1.6082279356177105,0.7769093563782337,11.014611183861339,2.1411210281337145,3558.1766586800177
P000001_LH,P000001,LH,57.04138177798244,0.6131930870570343,3.5813656002986325,0.5108688423423289,23.49238572819279,29.19324470115252,2.3978178102417775,0.2542215553679909,3.4717925024029035,48.72313174652956,109.50041930819239,18.90343793712419,0.9218942006675506,0.03708854242021554,15.81485389838005,0.1881794490034352,8.529385911211394,0.7152859091867825,2.0109446637784867,0.3930314956377556,3.493234906143585,23.82077921253471,3998.5543483520955
P000001_HL,P000001,HL,57.04138177798244,0.6131930870570343,3.5813656002986325,0.5108688423423289,23.49238572819279,29.19324470115252,2.3978178102417775,0.2542215553679909,3.4717925024029035,48.72313174652956,109.50041930819239,18.90343793712419,0.9218942006675506,0.03708854242021554,15.81485389838005,0.1881794490034352,8.529385911211394,0.7152859091867825,2.0109446637784867,0.3930314956377556,3.493234906143585,23.82077921253471,3998.5543483520955
P000002_LH,P000002,LH,70.56457108583561,0.7429518835052241,6.829945273349691,0.47499441544626386,16.945996086627652,15.261722158306116,1.8947525979510031,0.5609964982778968,2.0397270598661628,66.64735038484893,149.27671972704505,25.884445467044443,0.8984979507044625,0.6053467010455107,9.948884901313752,0.21640773313027098,10.28759304216758,1.6693224184656743,2.3363353485747305,0.46687376618124976,17.00506364241247,11.635890026801162,1893.9304331032322
P000002_HL,P000002,HL,70.56457108583561,0.7429518835052241,6.829945273349691,0.47499441544626386,16.945996086627652,15.261722158306116,1.8947525979510031,0.5609964982778968,2.0397270598661628,66.64735038484893,149.27671972704505,25.884445467044443,0.8984979507044625,0.6053467010455107,9.948884901313752,0.21640773313027098,10.28759304216758,1.6693224184656743,2.3363353485747305,0.46687376618124976,17.00506364241247,11.635890026801162,1893.9304331032322
P000003_LH,P000003,LH,71.94115764285944,0.6619876868325081,5.193027750030547,0.5603219206949993,18.61823811611503,14.528345743318107,2.839534512338696,1.9825352320622112,2.242935285191872,24.978020169244655,101.64932625574956,24.24746274145142,0.641174856308116,0.34754311882415884,14.223572177853603,0.19994429710201797,12.509227186595679,0.7507306212549123,2.351924524661249,0.5140801636189248,11.83351219758934,15.161254752459906,3228.411563036221
P000003_HL,P000003,HL,71.94115764285944,0.6619876868325081,5.193027750030547,0.5603219206949993,18.61823811611503,14.528345743318107,2.839534512338696,1.9825352320622112,2.242935285191872,24.978020169244655,101.64932625574956,24.24746274145142,0.641174856308116,0.34754311882415884,14.223572177853603,0.19994429710201797,12.509227186595679,0.7507306212549123,2.351924524661249,0.5140801636189248,11.83351219758934,15.161254752459906,3228.411563036221
P000004_LH,P000004,LH,60.875322135972056,0.37762756761318744,6.159071267159092,0.5912130404207487,18.964409363110214,27.26594201568105,2.4939734837018386,1.6911049025013405,3.2955604097313125,91.8594092519022,51.59977091238859,30.55238090598904,0.7859799659506769,0.5955835112557865,10.202079149825053,0.24351230717881306,10.385461098287657,1.544406635754906,2.2840392524318704,0.4968341189156608,23.411986340441715,3.713392584886111,3287.1866934483946
P000004_HL,P000004,HL,60.875322135972056,0.37762756761318744,6.159071267159092,0.5912130404207487,18.964409363110214,27.26594201568105,2.4939734837018386,1.6911049025013405,3.2955604097313125,91.8594092519022,51.59977091238859,30.55238090598904,0.7859799659506769,0.5955835112557865,10.202079149825053,0.24351230717881306,10.385461098287657,1.544406635754906,2.2840392524318704,0.4968341189156608,23.411986340441715,3.713392584886111,3287.1866934483946
