DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-72.33031341,0.031860043,17365262596,1.30E-05,18235816819,1.10E-05,1.99496E+11,1.29E-05,8.44E-06,0.702982876,0.1354695,0.216325468,0.216325468
-101.8831532,0.028674655,6358172151,1.19E-05,19287148206,9.48E-06,1.96414E+11,1.12E-05,1.40E-06,2.612715913,0.148847439,0.280017796,0.280017796
-39.2317145,0.031121594,5913858746,9.78E-06,36052966494,7.29E-06,1.95327E+11,1.10E-05,4.58E-05,2.095046211,0.063542727,0.088454317,0.088454317
-79.36183963,0.023659954,7607138321,1.02E-05,14870806250,9.79E-06,2.03649E+11,1.11E-05,3.25E-06,0.611620604,0.120591834,0.187362662,0.187362662
-26.40664123,0.031048741,9347448396,1.13E-05,24815801342,8.96E-06,2.02228E+11,1.20E-05,3.15E-05,0.937200949,0.046280009,0.068684312,0.068684312
-51.85951053,0.034616302,5610681435,1.11E-05,20333419000,1.06E-05,2.08878E+11,1.07E-05,3.67E-06,0.884171126,0.081371891,0.134118671,0.134118671
-43.75587075,0.031245035,9232655846,9.76E-06,10544835544,7.79E-06,1.94893E+11,1.23E-05,1.56E-05,2.962066272,0.083175087,0.098923113,0.098923113
-42.67906657,0.026025578,14250912685,8.16E-06,11899086643,9.51E-06,1.9042E+11,1.14E-05,1.05E-05,1.973932238,0.075116289,0.082281172,0.082281172
-46.70761862,0.028338692,8067359782,1.05E-05,18308530587,5.19E-06,2.08675E+11,1.29E-05,2.09E-06,1.106494803,0.090984721,0.110760505,0.110760505
-108.7257702,0.020651024,7906173941,1.15E-05,10859056494,7.51E-06,2.0838E+11,1.12E-05,4.06E-05,0.911627665,0.143978756,0.283482302,0.283482302
-103.3664021,0.023089677,6067827058,1.12E-05,10301465301,1.00E-05,1.92487E+11,1.14E-05,3.49E-06,0.90452387,0.150311642,0.267694047,0.267694047
-73.14666823,0.021177082,14139158655,1.16E-05,21931276248,6.34E-06,2.01055E+11,1.19E-05,1.22E-06,1.86578526,0.105491016,0.191029821,0.191029821
-111.9665551,0.02101259,19582722469,1.23E-05,32818535202,1.02E-05,1.95825E+11,1.16E-05,7.78E-06,2.043054125,0.145825854,0.316456772,0.316456772
-111.4617301,0.03004305,10393345654,1.05E-05,16645797090,1.02E-05,1.95303E+11,1.08E-05,2.73E-05,1.56638651,0.169401061,0.272855744,0.272855744
-52.93439825,0.022783182,7488281546,1.20E-05,24200465563,9.15E-06,2.03665E+11,1.29E-05,1.40E-05,0.597455312,0.091634583,0.144786071,0.144786071
-111.9460678,0.036214713,6248667636,1.26E-05,10976288128,1.10E-05,2.06644E+11,1.06E-05,2.51E-06,1.301413283,0.16423312,0.329034822,0.329034822
-28.94247403,0.03979616,13508613109,1.25E-05,27028280033,7.93E-06,1.95692E+11,1.30E-05,1.61E-05,0.50166469,0.060591991,0.082364038,0.082364038
-27.58040553,0.02937417,11480250120,8.58E-06,15702684959,8.96E-06,1.97256E+11,1.20E-05,1.47E-05,1.182007163,0.052897797,0.055457242,0.055457242
-98.27757222,0.038411668,5925204211,8.33E-06,39724446202,9.76E-06,2.00152E+11,1.26E-05,4.31E-06,2.860534932,0.213459767,0.195086925,0.213459767
-26.20853863,0.024667432,7789083368,1.12E-05,29521585647,7.53E-06,2.0326E+11,1.20E-05,4.26E-05,2.335368332,0.041654434,0.066778021,0.066778021
-70.29627833,0.0228851,10918403988,1.07E-05,38036458750,7.67E-06,2.0335E+11,1.09E-05,8.87E-06,1.166633773,0.097031236,0.17125553,0.17125553
-40.09238235,0.036091581,16046742758,9.94E-06,25925783332,9.78E-06,1.96362E+11,1.24E-05,1.27E-05,2.530344119,0.079706469,0.093680342,0.093680342
-85.92039579,0.033518868,6382847678,1.17E-05,34265722869,5.14E-06,2.01063E+11,1.14E-05,6.08E-06,0.575884394,0.144880855,0.224770882,0.224770882
-85.02416903,0.024654157,12007889384,8.74E-06,26661071314,8.47E-06,1.96939E+11,1.09E-05,2.38E-06,1.414133429,0.133878692,0.172819704,0.172819704
-54.08511991,0.029985157,19689808104,1.10E-05,33444322832,1.10E-05,2.04573E+11,1.17E-05,1.04E-05,0.525016872,0.094601853,0.137346992,0.137346992
-49.59961952,0.021961598,7970792466,1.18E-05,25478984089,8.65E-06,1.91964E+11,1.10E-05,9.59E-06,2.580784867,0.061608848,0.133848406,0.133848406
-20.2746271,0.03120139,8248763251,9.36E-06,28659412637,9.22E-06,2.02373E+11,1.27E-05,1.01E-05,2.816221678,0.040975765,0.04450323,0.04450323
-112.9699995,0.039135804,19817490260,1.18E-05,16917994142,6.98E-06,2.07363E+11,1.24E-05,1.63E-05,1.338195918,0.220698192,0.304957604,0.304957604
-41.90830643,0.030923217,12329276057,1.29E-05,29445185162,7.51E-06,2.0752E+11,1.10E-05,4.57E-06,0.787066118,0.060354023,0.122538502,0.122538502
-37.44713371,0.03783766,6753457050,1.22E-05,20439455144,6.75E-06,2.00417E+11,1.29E-05,1.10E-05,2.694251294,0.074189306,0.104764028,0.104764028
-55.99199888,0.029855004,17091380476,9.28E-06,15991469512,9.64E-06,1.98168E+11,1.10E-05,2.15E-06,0.638360367,0.095131746,0.120972087,0.120972087
-72.63452387,0.034120565,13751670386,1.09E-05,29005741162,6.69E-06,1.9607E+11,1.19E-05,8.01E-06,1.204103803,0.132577256,0.180507975,0.180507975
-118.3823034,0.027269965,5067781548,9.27E-06,19861678868,9.51E-06,1.90472E+11,1.28E-05,4.31E-05,0.678984311,0.239997798,0.254736489,0.254736489
-92.73201011,0.03893981,19130386059,1.22E-05,26842549057,1.10E-05,2.00466E+11,1.24E-05,1.90E-05,1.584392715,0.176987883,0.264735612,0.264735612
-99.01078939,0.02748837,12284358247,1.28E-05,10875079656,8.21E-06,2.04931E+11,1.14E-05,1.64E-05,0.963661796,0.141852264,0.288100498,0.288100498
-117.5031909,0.037799907,13791524245,9.76E-06,23116743104,1.03E-05,2.02751E+11,1.22E-05,7.87E-06,2.025292376,0.234787027,0.270759328,0.270759328
-71.07083846,0.031932648,9426896345,9.93E-06,25417012542,7.52E-06,1.94477E+11,1.09E-05,2.27E-06,0.662967549,0.118145736,0.161526679,0.161526679
-100.4672271,0.025118753,11907941804,9.09E-06,30316417425,8.79E-06,1.90464E+11,1.25E-05,1.13E-05,0.952321967,0.193067065,0.211764241,0.211764241
-39.54469119,0.030276825,15625999346,1.18E-05,17883563311,7.47E-06,1.92053E+11,1.25E-05,1.88E-06,0.548349115,0.073629522,0.105596789,0.105596789
-82.87985002,0.03129807,6898759709,1.24E-05,12789225969,8.44E-06,1.90568E+11,1.11E-05,7.76E-06,0.61640508,0.127161973,0.233718469,0.233718469
-74.01526887,0.022799532,10426244403,1.03E-05,14271499535,1.07E-05,1.94903E+11,1.24E-05,3.85E-05,0.994432123,0.128702485,0.177831497,0.177831497
-29.42793456,0.022546698,10026439363,1.03E-05,21941866543,6.53E-06,1.93366E+11,1.10E-05,1.58E-06,2.199394557,0.041016425,0.068811732,0.068811732
-111.7441366,0.021031257,15555061584,8.95E-06,23896144486,7.30E-06,2.00625E+11,1.19E-05,3.72E-05,2.085575115,0.188061275,0.229901427,0.229901427
-89.24196259,0.026396663,7210706517,9.14E-06,12537944694,9.59E-06,2.01822E+11,1.23E-05,1.63E-06,0.567354841,0.172925667,0.189079643,0.189079643
-60.87406192,0.038817354,6162693057,1.23E-05,24711693133,1.10E-05,1.90499E+11,1.21E-05,2.87E-05,1.51800037,0.111522201,0.175078921,0.175078921
-96.6568281,0.029578595,6529770610,1.25E-05,21162247592,1.10E-05,2.00501E+11,1.06E-05,1.89E-05,1.595344691,0.127231145,0.280971148,0.280971148
-58.37022201,0.027757999,19753211981,1.22E-05,28547438152,1.07E-05,2.05043E+11,1.24E-05,2.90E-05,0.711857017,0.101668063,0.163611741,0.163611741
-96.8248605,0.035125675,15014088160,1.14E-05,11422879024,1.10E-05,2.07037E+11,1.10E-05,5.62E-06,0.839107147,0.158535604,0.256882528,0.256882528
-62.63449642,0.022070355,12953806556,1.04E-05,11864548786,1.06E-05,2.0622E+11,1.19E-05,3.53E-05,2.928286266,0.097793467,0.152790559,0.152790559
-83.8318367,0.029469627,16163500955,1.20E-05,33540449377,1.10E-05,1.93424E+11,1.30E-05,1.06E-05,1.051810374,0.157920714,0.234129944,0.234129944
-33.2430471,0.035508727,6188197239,1.15E-05,12738374541,1.10E-05,2.05444E+11,1.21E-05,3.92E-05,1.111929466,0.061542712,0.089137572,0.089137572
-93.12887462,0.024394517,6220005563,1.02E-05,22091043659,1.03E-05,1.92794E+11,1.19E-05,4.54E-05,0.574613323,0.160339748,0.219201867,0.219201867
-57.61628433,0.037978644,5781214002,1.12E-05,12158922928,1.08E-05,2.00112E+11,1.19E-05,2.01E-06,0.554681696,0.10943787,0.150462883,0.150462883
-22.09140142,0.035690402,13391211149,1.24E-05,22207223662,7.11E-06,1.94953E+11,1.27E-05,1.64E-05,1.427612766,0.042179028,0.062331522,0.062331522
-36.80597672,0.034954405,8937687215,1.10E-05,14033231759,6.76E-06,2.08323E+11,1.08E-05,8.17E-06,0.617631698,0.059480768,0.091621298,0.091621298
-94.15798018,0.030616027,14004507236,1.21E-05,22754963684,7.54E-06,1.95094E+11,1.13E-05,1.36E-06,1.128791855,0.144101843,0.259739515,0.259739515
-63.50527149,0.027760818,6077539805,1.13E-05,21213187294,1.10E-05,1.97553E+11,1.19E-05,1.52E-06,2.644741645,0.103252085,0.167408096,0.167408096
-32.6044124,0.02467169,11666365041,8.35E-06,10791562194,1.10E-05,1.96964E+11,1.05E-05,3.88E-05,0.788029377,0.050715289,0.064476914,0.064476914
-69.54034093,0.028640621,5140088388,9.78E-06,13207009460,9.10E-06,2.08846E+11,1.27E-05,1.20E-05,0.740107051,0.137566202,0.157358219,0.157358219
-71.65758577,0.03062489,12157303492,1.01E-05,11448007435,1.02E-05,1.96954E+11,1.08E-05,1.12E-05,1.910610795,0.11133716,0.170447139,0.170447139
-93.4004006,0.029113674,8969916094,1.22E-05,29505843659,9.12E-06,2.04812E+11,1.06E-05,1.44E-05,1.256542996,0.125788292,0.261751208,0.261751208
-98.8508129,0.023019325,18741926954,9.10E-06,16375533739,6.03E-06,1.95806E+11,1.10E-05,2.29E-06,1.620509803,0.152434705,0.204771399,0.204771399
-34.92677164,0.03366385,13200391621,1.20E-05,22226663032,7.65E-06,1.95539E+11,1.24E-05,1.69E-05,0.623484332,0.065855083,0.095097889,0.095097889
-119.2169985,0.039764994,5324609484,1.29E-05,38241477899,7.72E-06,2.08938E+11,1.24E-05,4.83E-05,2.153814491,0.222785516,0.354055217,0.354055217
-103.5448064,0.028261256,5949179494,9.64E-06,21496535206,5.21E-06,1.90088E+11,1.13E-05,6.02E-06,1.839608768,0.171263544,0.226242511,0.226242511
-24.16195603,0.036058,5623924609,1.22E-05,11235426586,9.09E-06,2.03785E+11,1.08E-05,1.76E-06,1.27385469,0.036857617,0.06791075,0.06791075
-52.9891173,0.038719536,15565429242,1.21E-05,38287441756,1.10E-05,2.03629E+11,1.16E-05,2.00E-05,0.644369148,0.094714153,0.149241723,0.149241723
-99.74361628,0.022831494,12119978790,1.21E-05,11727363188,8.75E-06,1.92324E+11,1.20E-05,2.88E-06,1.616878701,0.147784923,0.275502841,0.275502841
-80.49048091,0.034455608,7428876853,1.03E-05,20510735113,1.07E-05,1.9741E+11,1.22E-05,2.10E-06,2.063463125,0.154042207,0.19446034,0.19446034
-22.57755826,0.038168213,6603407342,9.42E-06,37014716458,5.16E-06,1.90637E+11,1.24E-05,1.30E-05,0.536890647,0.047671458,0.048083565,0.048083565
-43.97041936,0.032790343,19006840035,1.26E-05,10424345828,7.29E-06,2.05796E+11,1.06E-05,2.48E-05,0.623952166,0.062958326,0.125655233,0.125655233
-71.62257348,0.030140037,11582141991,8.25E-06,14504332700,9.46E-06,1.92405E+11,1.16E-05,1.21E-05,1.242536846,0.133945008,0.139458212,0.139458212
-62.2335054,0.024769386,11917655253,8.97E-06,32490259223,5.38E-06,2.04364E+11,1.17E-05,1.14E-06,1.43351328,0.108300468,0.126568386,0.126568386
-33.51248965,0.022305794,13605233046,9.96E-06,20289235706,1.03E-05,1.92825E+11,1.07E-05,3.20E-05,0.708055655,0.047713938,0.077401769,0.077401769
-75.93003237,0.030208377,5263259177,8.53E-06,12090857690,8.58E-06,1.96667E+11,1.15E-05,1.63E-05,0.538404853,0.142105637,0.150056596,0.150056596
-83.46315467,0.022263363,6318568715,1.19E-05,10827444221,8.56E-06,2.03736E+11,1.16E-05,2.09E-06,1.098208665,0.118048143,0.225763175,0.225763175
-108.1330086,0.028112203,16850625676,1.19E-05,26007026447,1.10E-05,1.94825E+11,1.26E-05,2.63E-05,1.574557384,0.1904169,0.300019449,0.300019449
-61.0416068,0.034542847,19266929945,1.12E-05,32539217418,1.08E-05,1.95943E+11,1.29E-05,2.72E-05,0.694077217,0.124902841,0.158446953,0.158446953
-27.61341637,0.034115312,17999399716,1.13E-05,10542669112,1.10E-05,1.97238E+11,1.21E-05,1.46E-06,1.061238404,0.050282993,0.073188282,0.073188282
-48.16131485,0.032488725,14610209815,1.20E-05,32425617482,1.02E-05,2.04114E+11,1.13E-05,2.67E-06,2.169395863,0.075263614,0.134000678,0.134000678
-110.9752914,0.030670853,15627082716,9.79E-06,14510976182,9.93E-06,2.02573E+11,1.28E-05,4.50E-06,1.035990459,0.226232927,0.253886363,0.253886363
-91.13021032,0.027620626,10029531915,1.00E-05,24224328170,1.04E-05,2.01561E+11,1.23E-05,8.69E-06,1.310405034,0.166734901,0.213790489,0.213790489
-99.34118691,0.035490608,6116701986,1.26E-05,12643404149,8.63E-06,1.9109E+11,1.16E-05,4.60E-06,0.624945234,0.169140947,0.286803719,0.286803719
-81.84905005,0.02815637,11470251702,1.26E-05,22125697263,9.78E-06,1.9452E+11,1.10E-05,3.63E-05,1.857576657,0.111264566,0.236996101,0.236996101
-32.043161,0.022044979,13283061337,1.08E-05,21829568212,6.08E-06,1.90542E+11,1.28E-05,7.57E-06,2.854095118,0.054919283,0.078143554,0.078143554
-60.22404113,0.020261874,5162747432,1.03E-05,25633508036,8.87E-06,2.02918E+11,1.26E-05,2.63E-06,2.345067799,0.101139923,0.142946313,0.142946313
-55.70969776,0.021822413,14014281860,8.30E-06,18674215893,7.57E-06,1.99248E+11,1.22E-05,4.12E-05,0.737127122,0.104545818,0.106276931,0.106276931
-26.52820613,0.02816113,6934906481,1.18E-05,37887360220,1.10E-05,1.98207E+11,1.19E-05,9.23E-06,2.901591473,0.042384406,0.073242766,0.073242766
-52.68288999,0.035665201,17134807441,1.24E-05,16656748473,7.93E-06,1.94641E+11,1.29E-05,1.43E-05,0.648723563,0.105420707,0.148477424,0.148477424
-118.3314767,0.030791181,7557758473,9.53E-06,10369566897,7.22E-06,1.96602E+11,1.13E-05,3.11E-06,1.124383028,0.205170826,0.259154088,0.259154088
-110.9230473,0.032422288,6983220722,9.16E-06,23863227793,1.07E-05,2.05173E+11,1.22E-05,4.87E-06,0.665944967,0.222280514,0.238753518,0.238753518
-103.5590572,0.021936642,13791828482,8.23E-06,28016165053,8.24E-06,1.9278E+11,1.22E-05,7.70E-06,1.962030062,0.190714466,0.198653177,0.198653177
-45.94852202,0.037133042,13871938208,9.86E-06,10900747556,9.18E-06,1.94694E+11,1.07E-05,7.25E-06,0.640189946,0.078326506,0.105251158,0.105251158
-24.38187595,0.036133346,17268651723,1.14E-05,14336956230,1.10E-05,1.95824E+11,1.18E-05,2.92E-05,2.24585414,0.043361526,0.065011283,0.065011283
-62.95643806,0.035880028,5248297547,1.02E-05,12484325523,9.24E-06,1.9956E+11,1.26E-05,4.46E-06,0.831004942,0.128723723,0.149174063,0.149174063
-119.8385361,0.029933647,5252509275,1.06E-05,17706331920,7.01E-06,2.04965E+11,1.19E-05,5.30E-06,0.65754804,0.215973564,0.288276935,0.288276935
-87.01364117,0.039883431,11510386677,1.13E-05,22543746272,9.89E-06,1.97662E+11,1.11E-05,3.53E-05,0.978301433,0.149241633,0.22873019,0.22873019
-27.88815483,0.023582137,13380545985,9.22E-06,16354463090,8.94E-06,2.07933E+11,1.05E-05,7.69E-06,1.10795413,0.040368611,0.059642123,0.059642123
-99.74278046,0.025761461,11483048961,1.18E-05,23263565511,5.64E-06,1.92847E+11,1.16E-05,3.14E-05,0.574669534,0.155960344,0.262313756,0.262313756
-66.87892537,0.025842222,13612245749,1.13E-05,17031941151,6.38E-06,1.98893E+11,1.06E-05,1.95E-05,1.849985173,0.087473609,0.171327524,0.171327524
-91.36832837,0.021428867,15226618981,1.07E-05,20958732618,5.90E-06,1.95923E+11,1.13E-05,1.22E-06,1.614258435,0.129336526,0.221019979,0.221019979
-65.12848445,0.021114501,5067543407,1.15E-05,33278105268,7.26E-06,2.01319E+11,1.10E-05,1.73E-05,0.601817212,0.086595341,0.168785797,0.168785797
-91.66447327,0.031780234,11308264437,9.26E-06,18777456180,9.36E-06,1.96144E+11,1.14E-05,3.37E-05,1.162957507,0.163796817,0.198664775,0.198664775
-82.51993782,0.024237757,6065253410,1.22E-05,21922016827,7.77E-06,1.95067E+11,1.24E-05,4.84E-05,1.640384484,0.130180216,0.229518205,0.229518205
-37.86384513,0.027939671,15547856751,1.10E-05,26672892317,1.07E-05,1.94694E+11,1.15E-05,1.39E-06,2.774447576,0.059735628,0.09763033,0.09763033
-57.60529906,0.026318581,6007601819,1.19E-05,11972778604,8.12E-06,2.02491E+11,1.23E-05,3.00E-05,1.419466595,0.095519663,0.156737232,0.156737232
-20.6425005,0.032810532,6761630022,8.30E-06,33866232030,9.83E-06,1.9662E+11,1.20E-05,6.85E-06,1.44620902,0.040814971,0.040657418,0.040814971
-70.11333771,0.020590265,5848722315,1.19E-05,11172345757,1.06E-05,2.06496E+11,1.23E-05,1.11E-06,1.616246752,0.104797383,0.191956688,0.191956688
-52.81474095,0.037559997,8910799231,1.07E-05,18189830904,1.02E-05,2.08462E+11,1.29E-05,1.87E-06,2.09421246,0.109670921,0.132241268,0.132241268
-82.43193767,0.027439246,8696977229,8.25E-06,10477324286,8.44E-06,2.08261E+11,1.21E-05,5.10E-06,0.8777989,0.160473962,0.158379553,0.160473962
-50.49570853,0.038174991,5680566749,1.26E-05,21452454349,1.10E-05,1.99173E+11,1.05E-05,2.44E-05,1.694625053,0.0739986,0.14876284,0.14876284
-116.6300503,0.037246995,6564455587,1.15E-05,20059530288,1.04E-05,1.91655E+11,1.07E-05,2.15E-05,0.839376645,0.18464711,0.311501325,0.311501325
-108.1770872,0.035687299,5391093172,8.96E-06,15357967345,8.78E-06,2.02903E+11,1.17E-05,3.22E-06,0.898826318,0.209798281,0.226348192,0.226348192
-43.17758163,0.023840351,5298423586,9.13E-06,24177278288,1.05E-05,2.03178E+11,1.10E-05,4.54E-05,0.64775313,0.068295684,0.092133801,0.092133801
-71.95963243,0.039969679,7356383507,1.07E-05,29779024233,8.23E-06,2.09699E+11,1.12E-05,2.07E-05,0.597795071,0.129299694,0.177321764,0.177321764
-76.22202209,0.025905483,6218992062,1.16E-05,21660331442,6.31E-06,1.95438E+11,1.08E-05,1.06E-06,2.077071939,0.101092287,0.199721583,0.199721583
-73.9142932,0.036003273,8450229387,9.72E-06,14934813097,9.17E-06,1.97063E+11,1.17E-05,1.23E-05,1.571282956,0.13840997,0.16812413,0.16812413
-104.0938408,0.031283113,12480568465,1.17E-05,23752140340,1.10E-05,2.02354E+11,1.23E-05,1.90E-06,2.163234972,0.184362558,0.284738942,0.284738942
-92.39649729,0.027732619,9746584862,8.15E-06,16535905934,8.33E-06,2.03531E+11,1.27E-05,7.13E-06,0.582544185,0.195225729,0.1745147,0.195225729
-38.78801252,0.02981499,6377028066,1.16E-05,36079610792,6.53E-06,2.00326E+11,1.26E-05,8.42E-06,1.106080666,0.070904731,0.102328127,0.102328127
-61.31780977,0.021341861,8354418877,9.74E-06,24330742164,1.01E-05,1.98188E+11,1.17E-05,1.98E-05,0.617755119,0.100372046,0.138121871,0.138121871
-51.2596913,0.027196679,9562597724,8.65E-06,31880295860,5.23E-06,1.95454E+11,1.21E-05,1.54E-05,2.912479631,0.09614787,0.101044792,0.101044792
-84.72939296,0.027784141,7538887436,1.16E-05,10167238478,1.10E-05,1.92724E+11,1.26E-05,4.90E-06,1.64026149,0.150893723,0.229107961,0.229107961
-85.80584546,0.031647086,14944393981,8.22E-06,13013911505,8.54E-06,2.03086E+11,1.08E-05,1.61E-05,2.123696813,0.147042374,0.165981718,0.165981718
-35.24499253,0.038465693,16148750288,9.33E-06,10567903555,7.10E-06,1.90071E+11,1.10E-05,2.65E-06,1.108432013,0.063328483,0.075959624,0.075959624
-31.49837824,0.020767423,7698005204,9.99E-06,35253431470,1.03E-05,1.93974E+11,1.15E-05,1.29E-06,0.630619408,0.04876229,0.072776651,0.072776651
-88.53876513,0.033165748,17334961297,1.27E-05,23999685143,7.57E-06,1.96055E+11,1.14E-05,4.47E-05,1.621226083,0.138366913,0.255997894,0.255997894
-105.2306303,0.039732331,11605634422,1.21E-05,21603089353,1.07E-05,1.97581E+11,1.10E-05,3.01E-06,2.751605001,0.170126316,0.297528117,0.297528117
-46.73770807,0.0326273,7352310408,8.78E-06,22566196618,8.94E-06,1.91275E+11,1.13E-05,5.43E-06,1.991294989,0.084012226,0.096445622,0.096445622
-62.53001414,0.027864795,7322014461,9.61E-06,14919414826,9.45E-06,2.05216E+11,1.29E-05,2.53E-05,2.092840697,0.124780365,0.140441771,0.140441771
-101.4413309,0.038865888,19202241223,9.66E-06,16057623397,9.31E-06,2.09673E+11,1.26E-05,3.54E-06,0.935900198,0.216136855,0.229207176,0.229207176
-86.63486036,0.033651888,12766460213,1.18E-05,20804308133,1.10E-05,2.09308E+11,1.13E-05,2.26E-06,0.607338204,0.143192411,0.236667761,0.236667761
-105.8024033,0.02469575,10302157640,1.13E-05,30973998360,9.05E-06,2.06464E+11,1.14E-05,4.68E-05,0.642707778,0.161835296,0.272651152,0.272651152
-86.88050627,0.032995817,5020861412,9.57E-06,25808449685,9.15E-06,1.98817E+11,1.07E-05,1.27E-06,1.226896694,0.140689612,0.194133576,0.194133576
-40.36960541,0.02298192,7897457517,1.20E-05,13230315436,9.32E-06,2.05813E+11,1.18E-05,1.95E-06,2.140752129,0.057689786,0.111627085,0.111627085
-50.44839435,0.035194266,8223608675,8.05E-06,24701149517,1.08E-05,2.0558E+11,1.08E-05,3.52E-06,0.829851974,0.090364217,0.097073997,0.097073997
-74.38184974,0.039123591,18281548141,9.61E-06,33091264160,1.01E-05,1.94567E+11,1.21E-05,2.52E-05,1.561335775,0.149812126,0.168648613,0.168648613
-109.8527217,0.034968757,15165266911,1.19E-05,14425946896,1.10E-05,2.07125E+11,1.28E-05,4.32E-05,1.993608005,0.212584138,0.305059713,0.305059713
-113.130666,0.030302698,11150952386,1.26E-05,23238080735,8.67E-06,1.90298E+11,1.16E-05,1.18E-05,0.552163848,0.181832957,0.323624073,0.323624073
-28.05545459,0.038581318,19781079713,8.96E-06,29017949456,9.90E-06,2.06487E+11,1.22E-05,2.64E-06,1.039777025,0.05810642,0.05937254,0.05937254
-67.23371244,0.033084946,19514325261,1.13E-05,29748286763,6.13E-06,2.04907E+11,1.22E-05,5.93E-06,1.148838341,0.123428426,0.172858501,0.172858501
-72.58229245,0.030128964,5682812880,8.52E-06,11643839323,5.78E-06,1.96282E+11,1.12E-05,8.92E-06,1.468488654,0.126915276,0.141586558,0.141586558
-110.4404604,0.029306302,10107403258,1.24E-05,25400750066,9.30E-06,2.06139E+11,1.05E-05,3.30E-06,1.93766149,0.143921943,0.315084827,0.315084827
-67.82248805,0.02196694,13184763314,9.53E-06,21065396939,7.07E-06,2.08102E+11,1.27E-05,8.89E-06,0.934145779,0.125226013,0.147210927,0.147210927
-66.26761784,0.036868806,13240976832,1.23E-05,21595346964,1.10E-05,2.06332E+11,1.11E-05,1.98E-06,0.824499448,0.107805818,0.189307051,0.189307051
-92.73856342,0.023406852,18417148221,9.52E-06,39078294951,6.36E-06,1.96375E+11,1.19E-05,4.93E-06,2.846791676,0.156527771,0.201556497,0.201556497
-61.79862448,0.020211455,15473581951,1.16E-05,36453985217,6.35E-06,1.98878E+11,1.21E-05,2.64E-05,0.585028217,0.094330642,0.160350564,0.160350564
-84.87195997,0.033732331,8176466285,8.19E-06,20175433100,5.10E-06,2.02232E+11,1.12E-05,4.61E-05,1.249839229,0.15599765,0.158715684,0.158715684
-21.55072256,0.037008469,15763484041,8.89E-06,13249539019,8.45E-06,1.90634E+11,1.05E-05,3.66E-05,1.685924811,0.036281339,0.044918834,0.044918834
-53.00268941,0.032057561,8543030258,1.21E-05,19140509371,5.09E-06,1.99319E+11,1.08E-05,1.92E-05,0.943553661,0.078007451,0.144002692,0.144002692
-67.78531893,0.034786053,14901745558,8.01E-06,13000556218,7.35E-06,2.03633E+11,1.11E-05,1.24E-06,0.573349114,0.126612239,0.125664322,0.126612239
-40.01160874,0.023046995,11630889428,1.15E-05,22254599820,9.08E-06,2.01411E+11,1.28E-05,2.02E-05,2.721774687,0.06733886,0.105835556,0.105835556
-88.889146,0.023439437,8777186338,1.03E-05,10518106235,1.02E-05,2.05101E+11,1.16E-05,4.30E-05,0.711051997,0.143303289,0.210838028,0.210838028
-60.64248914,0.039807618,5712537898,8.12E-06,14089436838,8.95E-06,1.91589E+11,1.11E-05,3.01E-06,0.530361823,0.117273309,0.115476925,0.117273309
-96.27851082,0.024299823,9523356745,9.95E-06,22043436804,8.14E-06,1.93526E+11,1.18E-05,3.52E-06,2.42212604,0.159120232,0.220889413,0.220889413
-90.96944813,0.031316502,9344993812,1.17E-05,15631473900,7.50E-06,1.98124E+11,1.05E-05,4.53E-05,0.622170661,0.132350316,0.241010559,0.241010559
-52.09983628,0.026335809,7164002059,1.27E-05,29428956030,6.51E-06,2.07633E+11,1.06E-05,7.26E-06,2.629931613,0.063218066,0.14840047,0.14840047
-74.62859872,0.02281012,6973138520,1.06E-05,27162558391,5.66E-06,2.08171E+11,1.15E-05,2.49E-06,0.912478872,0.1148907,0.177310527,0.177310527
-41.6916293,0.03256039,11958651720,1.18E-05,23427867648,1.09E-05,2.00559E+11,1.12E-05,3.48E-06,1.022261873,0.06556668,0.114057371,0.114057371
-113.0553433,0.039912815,10951645908,8.89E-06,20791113597,7.50E-06,1.97739E+11,1.29E-05,3.81E-05,2.150519325,0.251397727,0.234454757,0.251397727
-91.97714735,0.034392497,16041173213,9.88E-06,13366997954,5.61E-06,2.07752E+11,1.28E-05,2.55E-05,0.688084173,0.192988151,0.205611954,0.205611954
-89.71163325,0.033088156,7482038827,8.52E-06,26130292065,8.42E-06,2.04707E+11,1.18E-05,2.37E-06,0.766809887,0.175325708,0.178052861,0.178052861
-89.39926536,0.039578858,6862426527,8.02E-06,11065871347,1.08E-05,2.06575E+11,1.07E-05,1.05E-06,2.771637402,0.160852696,0.172916647,0.172916647
-34.05905681,0.029123717,12233739250,8.55E-06,31202065254,6.86E-06,1.91287E+11,1.11E-05,2.66E-05,1.067350953,0.058978838,0.067021053,0.067021053
-57.43602316,0.029765633,5522161901,8.60E-06,18899765361,8.31E-06,1.97803E+11,1.23E-05,1.62E-06,0.608066304,0.115958377,0.114334808,0.115958377
-108.6920643,0.027660084,12348459949,1.24E-05,14621347827,1.10E-05,2.07728E+11,1.28E-05,2.31E-06,2.553407042,0.189454143,0.313788476,0.313788476
-119.1062959,0.033907503,9257442696,1.11E-05,13990881641,9.57E-06,2.06837E+11,1.06E-05,8.61E-06,2.33775394,0.179831093,0.30671015,0.30671015
