DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-85.88263732,0.039290019,18698222721,9.63E-06,14056921407,1.00E-05,2.02074E+11,1.13E-05,2.83E-05,0.886984759,0.15983129,0.19444495,0.19444495
-60.53235381,0.029226129,6147836227,1.26E-05,37056949105,1.10E-05,2.07853E+11,1.25E-05,8.72E-06,1.641456263,0.103141878,0.17646348,0.17646348
-100.5930986,0.021025979,8598384386,8.04E-06,24568915494,7.72E-06,2.03684E+11,1.30E-05,2.69E-05,2.79627858,0.201062653,0.188053856,0.201062653
-85.197096,0.020342952,11443417614,1.14E-05,14236782337,6.74E-06,2.03854E+11,1.14E-05,8.61E-06,0.510883751,0.121352896,0.216081562,0.216081562
-25.00660704,0.037292232,16253645001,1.17E-05,26591253492,7.78E-06,1.98177E+11,1.29E-05,3.74E-06,0.595309197,0.051584013,0.066674244,0.066674244
-46.33598182,0.02621436,11417614547,9.54E-06,26980105744,9.49E-06,1.90385E+11,1.23E-05,2.46E-05,1.123291311,0.086220654,0.102895118,0.102895118
-40.91448223,0.0251894,7612567332,1.19E-05,24539201178,1.05E-05,1.95616E+11,1.30E-05,1.55E-06,0.576289442,0.074821536,0.111357018,0.111357018
-55.47461433,0.033910877,13138125214,1.03E-05,16171912350,1.06E-05,1.91148E+11,1.30E-05,1.57E-05,1.352888808,0.114997837,0.13472579,0.13472579
-89.73523413,0.036159566,5975825164,8.69E-06,13539088728,9.14E-06,1.94451E+11,1.17E-05,8.28E-06,1.581685415,0.174686609,0.183865295,0.183865295
-78.23305731,0.028407808,5832276386,8.23E-06,34159351723,8.71E-06,2.00891E+11,1.07E-05,2.89E-06,0.542484661,0.13280183,0.149496552,0.149496552
-40.73722572,0.025618756,5753366493,8.02E-06,34414247123,1.00E-05,1.9499E+11,1.10E-05,2.87E-05,0.537601442,0.070293422,0.076737267,0.076737267
-78.38925361,0.022920723,8584665487,8.85E-06,11061311178,8.30E-06,1.99797E+11,1.20E-05,3.34E-06,0.971002951,0.140074804,0.160330072,0.160330072
-58.49727445,0.0345906,11780722494,9.66E-06,10436086386,7.98E-06,1.91994E+11,1.09E-05,2.79E-06,2.391563572,0.09767832,0.131346516,0.131346516
-67.57143961,0.020823549,6207161790,9.32E-06,26547900653,9.65E-06,1.92977E+11,1.12E-05,1.73E-06,1.218359024,0.10307739,0.146531708,0.146531708
-58.0325111,0.034834226,8563688950,1.20E-05,20324343694,1.10E-05,2.07442E+11,1.11E-05,4.66E-05,1.332765637,0.091748353,0.162209172,0.162209172
-72.45718551,0.025231469,7132074330,1.19E-05,27207290629,5.33E-06,1.96123E+11,1.22E-05,1.16E-06,2.179665953,0.11500001,0.193617048,0.193617048
-67.03466055,0.033322697,13229923747,9.66E-06,11108949254,9.27E-06,2.06533E+11,1.16E-05,2.26E-06,2.596498833,0.120108506,0.151837978,0.151837978
-25.03540695,0.022954976,14444017212,1.26E-05,13328111833,6.54E-06,2.0567E+11,1.10E-05,6.89E-06,2.01900273,0.030470218,0.070988704,0.070988704
-33.32665337,0.024082864,9163069608,1.14E-05,13908713776,1.10E-05,1.96301E+11,1.25E-05,3.27E-05,1.113865666,0.056100011,0.088086682,0.088086682
-93.95274671,0.036350638,16667902092,1.16E-05,17737046766,1.10E-05,2.01995E+11,1.16E-05,1.63E-06,1.590772207,0.162162891,0.254757978,0.254757978
-30.04018546,0.027992291,14624682276,1.22E-05,33785097337,8.76E-06,1.90255E+11,1.15E-05,2.21E-05,2.209726405,0.044252161,0.084247627,0.084247627
-61.49426171,0.036639196,13577268207,9.40E-06,32598135872,5.95E-06,2.07126E+11,1.28E-05,2.21E-06,0.691841879,0.132685968,0.131617935,0.132685968
-46.99957483,0.039229652,6550496265,1.28E-05,37982714839,1.06E-05,2.09219E+11,1.28E-05,3.94E-06,1.070228293,0.093426278,0.139895958,0.139895958
-95.91131378,0.037266845,11813874116,8.59E-06,25515426662,1.01E-05,1.90621E+11,1.17E-05,1.88E-05,1.136725498,0.187880049,0.195387861,0.195387861
-67.88236408,0.03323331,15149929326,8.63E-06,33564738112,6.66E-06,1.96287E+11,1.17E-05,1.54E-05,0.650053624,0.132211171,0.134287793,0.134287793
-24.1292986,0.020365614,13338327526,1.24E-05,28788056243,9.68E-06,1.92947E+11,1.20E-05,1.28E-06,1.329373738,0.032991269,0.068633644,0.068633644
