geo_id,sim_id,KH,Kh,E_Sv,nu,c_Sv,phi,pw_Sv,dilationRatio,status,is_collapsed,max_eq_plastic_strain,rp_max_rw,rp_severe_rw,theta_breakout,theta_breakout_severe,plastic_area_fraction,sigma_theta_max,ur_max_abs_rw,ur_convergence_rw,ur_expansion_rw,Regime,Sv_MPa,Hardening_over_Sv
dataset_batch_7_geo_batch7_0770,dataset_batch_7_geo_batch7_0770_sim_001,0.931878769,0.476644676,243.1199293,0.264103053,0.115763038,20.91572075,0.506169145,0,SUCCESS,0,0.000149518,1.040518522,1,11.25,4.499999523,0.007138608,105070905.5,0.003325699,0.003325699,0.001356592,2,60,16.66666667
dataset_batch_7_geo_batch7_0771,dataset_batch_7_geo_batch7_0771_sim_001,1.109923421,0.584350695,813.5692013,0.15157366,0.057738063,24.87954432,0.410497974,0,SUCCESS,0,0.000646073,1.082659483,1.082659483,90,20.25,0.025580012,123204163.9,0.001516258,0.001516258,0.000338896,2,60,16.66666667
dataset_batch_7_geo_batch7_0772,dataset_batch_7_geo_batch7_0772_sim_001,1.052881755,0.582614073,939.9662541,0.186792622,0.05497888,21.38283438,0.537038535,0,SUCCESS,0,0.000218605,1.040518522,1.040518522,90,11.25000381,0.016061868,111754625,0.001023856,0.001023856,0.000340554,2,60,16.66666667
dataset_batch_7_geo_batch7_0773,dataset_batch_7_geo_batch7_0773_sim_001,1.122403953,0.512188977,849.540812,0.298568544,0.111109895,23.54814367,0.429257205,0,SUCCESS,0,0.000388354,1.040518522,1.040518522,90,13.50000477,0.019036288,128809451,0.001442738,0.001442738,0.000367959,2,60,16.66666667
dataset_batch_7_geo_batch7_0774,dataset_batch_7_geo_batch7_0774_sim_001,1.073738145,0.575944407,482.9729529,0.185808701,0.096277253,21.48532132,0.693886307,0,SUCCESS,0,0.000249183,1.082659483,1.040518522,13.5,6.75,0.011302796,113252143.1,0.001698694,0.001698694,0.001060939,2,60,16.66666667
dataset_batch_7_geo_batch7_0775,dataset_batch_7_geo_batch7_0775_sim_001,0.892246416,0.537924762,483.9277434,0.151924357,0.050553862,21.44251456,0.749583486,0,SUCCESS,0,0.000541668,1.219479561,1.126487851,20.24999809,15.74999905,0.027364664,80962099.66,0.001101396,0.000928281,0.001101396,3,60,16.66666667
dataset_batch_7_geo_batch7_0776,dataset_batch_7_geo_batch7_0776_sim_001,1.1114796,0.603011786,329.1706547,0.204014545,0.066727923,23.66964331,0.52490631,0,SUCCESS,0,0.000246003,1.040518522,1.040518522,11.25000381,6.750002384,0.007138608,125149452.3,0.003242751,0.003242751,0.000920528,2,60,16.66666667
dataset_batch_7_geo_batch7_0777,dataset_batch_7_geo_batch7_0777_sim_001,1.126704162,0.616894605,519.8972832,0.272018362,0.119836996,21.36813461,0.788445089,0,SUCCESS,0,0.00022415,1.082659483,1.040518522,11.25,6.75,0.00892326,114682600.6,0.001392201,0.001392201,0.000996638,2,60,16.66666667
dataset_batch_7_geo_batch7_0778,dataset_batch_7_geo_batch7_0778_sim_001,1.100366524,0.575420256,751.11596,0.218415223,0.06319421,24.49139926,0.432960135,0,SUCCESS,0,0.000476632,1.082659483,1.040518522,90,15.74999905,0.02082094,123115251.8,0.001565208,0.001565208,0.000333027,2,60,16.66666667
dataset_batch_7_geo_batch7_0779,dataset_batch_7_geo_batch7_0779_sim_001,1.060900177,0.553155064,511.518872,0.197703767,0.044988873,22.90804386,0.45857565,0,SUCCESS,0,0.001013979,1.082659483,1.082659483,90,90,0.0297442,115126194.9,0.002144979,0.002144979,0.000600179,2,60,16.66666667
