DeltaT,t_cement,E_cement,alpha_cement,E_rock,alpha_rock,E_steel,alpha_steel,a0_interface,k_contact,r_inner,t_steel,k_cement,y_cc_max_jump_mm,y_cr_max_jump_mm,y_all_max_jump_mm
-67.71451131,0.015990217,9529674658,8.17E-06,5159443218,1.16E-05,2.04791E+11,1.15E-05,4.27E-05,1.488403789,0.135226957,0.01339602,1.935422108,0.127907108,0.181232889,0.181232889
-73.12249791,0.047006062,15359465439,7.58E-06,8099754191,9.73E-06,1.95569E+11,1.21E-05,2.04E-06,0.229743126,0.178540088,0.014482566,0.681031994,0.277881968,0.191801495,0.277881968
-23.05767894,0.020833847,4658760774,1.49E-05,24728557979,8.23E-06,2.00374E+11,1.20E-05,6.48E-05,2.458854465,0.147662024,0.022286063,1.603781321,0.090783122,0.313149981,0.313149981
-47.30184732,0.058608222,11929878249,9.58E-06,44415629060,5.51E-06,1.94275E+11,1.08E-05,1.53E-05,0.986780558,0.120449607,0.019765699,0.823026159,0.164301654,0.182482942,0.182482942
-56.51926341,0.034545366,6148955421,1.29E-05,15430264062,1.24E-05,2.09157E+11,1.32E-05,4.85E-06,0.572541012,0.152847446,0.017002334,1.312679341,0.196969909,0.312703778,0.312703778
-57.05161059,0.04768548,4240949002,1.37E-05,28129289647,1.18E-05,1.929E+11,1.37E-05,9.30E-05,0.855574055,0.188035286,0.021511027,0.804593877,0.290951822,0.377379333,0.377379333
-46.65477311,0.0232327,18216028443,9.00E-06,7154383576,4.22E-06,2.08017E+11,1.03E-05,2.93E-06,0.517682604,0.13214883,0.01530833,1.368447294,0.123184971,0.180532395,0.180532395
-22.06288315,0.058583132,5551424951,1.17E-05,12852603598,6.99E-06,1.96632E+11,1.14E-05,3.91E-06,0.207756475,0.110972766,0.012978489,0.658579163,0.157651682,0.184536927,0.184536927
-74.22950301,0.032020983,14031665433,1.10E-05,53597333014,8.99E-06,2.01827E+11,1.25E-05,1.23E-05,2.132153387,0.168366791,0.023840273,1.653978493,0.198447397,0.308728688,0.308728688
-68.35633509,0.052157621,22804084859,9.25E-06,34449671906,1.26E-05,1.98552E+11,1.19E-05,9.39E-06,0.333845991,0.123526779,0.021887872,0.58211122,0.199623145,0.176201643,0.199623145
-27.96703596,0.027001636,3124884440,1.21E-05,11277241976,5.62E-06,2.0367E+11,1.20E-05,2.99E-05,1.323364998,0.155922329,0.014887054,1.855287512,0.13865469,0.283668245,0.283668245
-40.75046161,0.042666026,10511747598,7.28E-06,6212927665,8.40E-06,1.92229E+11,1.32E-05,3.97E-05,3.754946966,0.175566578,0.017419419,0.963199562,0.27521233,0.194279182,0.27521233
-61.02780312,0.057142527,8805729431,1.29E-05,9011328625,9.07E-06,1.99452E+11,1.15E-05,6.41E-06,2.561203113,0.138456465,0.020905812,1.824054285,0.16477618,0.320814592,0.320814592
-35.14779609,0.036199889,7714120453,9.65E-06,25962898565,6.65E-06,2.04648E+11,1.24E-05,2.02E-05,0.220858731,0.181788759,0.016318989,0.502160544,0.266720609,0.222757825,0.266720609
-33.55555506,0.043432381,19419287783,1.49E-05,49461071004,4.85E-06,1.90704E+11,1.34E-05,4.82E-05,0.621894013,0.162199442,0.012377636,1.06700424,0.215282978,0.345047492,0.345047492
-70.26830224,0.024599103,3469137447,7.63E-06,16186393562,1.09E-05,2.05821E+11,1.07E-05,1.52E-06,0.909474145,0.117249716,0.024848156,0.86772309,0.14320471,0.153929269,0.153929269
-79.83287083,0.038410222,6597847647,8.10E-06,10410027429,1.05E-05,1.93797E+11,1.38E-05,5.65E-05,0.141325752,0.174643854,0.022898134,1.223169745,0.31331036,0.223844245,0.31331036
-23.95994438,0.018170609,12795853288,1.33E-05,43371775071,7.50E-06,2.08992E+11,1.02E-05,1.79E-06,3.991520252,0.104695655,0.014282236,0.750608011,0.062779423,0.191411983,0.191411983
-44.74347696,0.050714313,4958275304,1.01E-05,22559897649,5.70E-06,1.9511E+11,1.11E-05,4.23E-06,1.589670075,0.12592665,0.018427699,1.415784694,0.154206241,0.215339104,0.215339104
-51.46333601,0.03117784,16336392403,1.13E-05,5736135046,1.23E-05,2.00227E+11,1.29E-05,1.34E-05,0.354898779,0.194257417,0.018753663,0.641449513,0.273655636,0.308602635,0.308602635
-52.67038763,0.048902562,8378197863,7.15E-06,57816396092,7.94E-06,2.08486E+11,1.12E-05,2.31E-05,1.199823352,0.199913515,0.0224741,1.139091615,0.263934922,0.223982343,0.263934922
-43.62142634,0.030464792,9568412453,1.44E-05,13881196926,1.04E-05,1.93681E+11,1.28E-05,7.36E-06,0.289114636,0.130011861,0.014649973,0.948450864,0.160252289,0.278385947,0.278385947
-26.97247269,0.040114081,3894565759,9.13E-06,7708512981,1.22E-05,2.02296E+11,1.40E-05,1.73E-06,0.101881966,0.100998691,0.017195132,1.968265402,0.181796385,0.155459148,0.181796385
-76.73700092,0.019566952,21812733673,1.24E-05,30271167497,6.14E-06,1.97412E+11,1.01E-05,5.50E-05,3.40438159,0.16938057,0.019928345,0.554919693,0.128248785,0.297871061,0.297871061
-71.35830896,0.044935825,11398063199,1.18E-05,19282379204,6.53E-06,2.02889E+11,1.35E-05,2.12E-06,0.433681225,0.113530151,0.021330678,1.573885299,0.180457502,0.23994616,0.23994616
-32.31646044,0.02579486,5873888592,1.06E-05,6694644069,9.51E-06,1.98085E+11,1.06E-05,6.68E-05,0.797659841,0.156910503,0.015952083,0.69931909,0.153644455,0.236019427,0.236019427
-38.27754095,0.055130361,15041535785,1.38E-05,12180679183,1.13E-05,2.06642E+11,1.16E-05,1.60E-05,1.987841744,0.187467647,0.013609448,1.345299681,0.214189526,0.396063879,0.396063879
-58.04914888,0.035286255,4563052120,8.62E-06,37164280610,4.73E-06,1.91759E+11,1.23E-05,5.02E-06,0.174043728,0.142567519,0.023672718,0.809398772,0.22101847,0.182285654,0.22101847
-63.71067459,0.041466756,17921108137,1.05E-05,15039861013,5.22E-06,2.03867E+11,1.31E-05,2.46E-06,4.621232564,0.148796512,0.023091205,0.598383689,0.238418228,0.226727937,0.238418228
